outfitID,items,look,season,occasion
b57,"p233,p234,p235,p236","American casual sportswear: grey tracksuit with brown shoes and baseball cap, simple and comfortable, suitable for daily exercise or outings.",Spring/Summer,Daily/Social
b58,"p237,p238,p239","Playful cute: light blue cartoon cardigan with denim wide-leg trousers, cat embellishments and soft tones for a lively look, fits children's style.",Spring,Daily
b59,"p240,p241,p242,p243,p244,p245","British preppy: plaid jacket with brown mini skirt and slouchy socks, faux fur collar and plaid elements for a vintage academic look, suitable for daily wear.",Summer,Daily/Travel
b60,"p246,p247,p248,p249,p250,p251,p252","Vintage festive: off-white sweater with rabbit embellishments, paired with black mini skirt and red socks, red tones and plush elements for a festive and cute look.",Spring,Daily/Sports
b61,"p253,p254,p255,p256,p257,p258","Sweet-cool biker: black jacket with star embellishments, paired with pink socks and black boots, sweet-cool color palette with refined details, suitable for personalized outings.",Spring,Daily/School
b62,"p259,p260,p261,p262","Playful cute: white hoodie with heart embellishments, paired with denim wide-leg trousers and star bag, cute elements for a soft look, suitable for daily leisure.",Spring/Summer,Daily/Social
b63,"p263,p264,p265,p266","French chic: light blue striped set with ruffle details, fresh tones for an elegant look, suitable for summer semi-formal occasions.",Spring,Daily
b64,"p267,p268,p269,p270","American casual sportswear: off-white printed sweatshirt with black wide-leg trousers, striped sleeve details, comfortable and casual for daily outings.",Spring,Daily/Travel
b65,"p271,p272,p273,p274,p275","British preppy: navy set layered over plaid shirt, light blue accents for an artistic look, vintage academic style suitable for school.",Spring,Daily/Social
b66,"p276,p277,p278,p279","Guochao street sportswear: pink plaid shirt layered over white T-shirt, paired with black flared trousers, letter embellishments for a street look, suitable for trendy outings.",Spring,Daily/Travel
b67,"p280,p281,p282,p283","Playful cute: pink and black color-block sweatshirt with rabbit embellishments, paired with grey mini skirt, cute elements and color-block design fits children's style.",Spring,Daily/School
b68,"p284,p285,p286,p287,p288,p289","French chic: beige tweed-style jacket with black mini skirt, simple and refined for an elegant look, suitable for semi-formal daily occasions.",Spring/Summer,School/Social
b69,"p290,p291,p292,p293,p294,p295","American casual sportswear: denim jacket with star embellishments, paired with dark blue trousers and slouchy socks, casual with details, suitable for daily outings.",Spring,Daily/School
b70,"p296,p297,p298,p299,p300,p301","Sweet-cool biker: black sweater with graphic embellishments, paired with leather mini skirt and pink-logo socks, sweet-cool mix for personality, suitable for trendy scenes.",Spring,Daily
b71,"p302,p303,p304,p305,p306,p307","French chic: goose yellow set with star embellishments, paired with lace inner top and matching bag, gentle and refined, suitable for semi-formal daily occasions.",Spring,Daily/Social
b72,"p308,p309,p310,p311","Vintage festive: grey set with red embellishments, plush boots for warmth, red and grey color-block for a festive and cute look.",Spring,Daily/Travel
b73,"p312,p313,p314,p315","American casual sportswear: navy set with English slogan, paired with beret and sneakers, simple and comfortable, suitable for daily outings or sports.",Spring,Daily/School
b74,"p316,p317,p318,p319,p320","Playful cute: light blue plush sweatshirt with cat embellishments, paired with dark blue trousers and plush hat, soft elements for a cute look, suitable for daily leisure.",Spring,Daily/Travel
b75,"p321,p322,p323,p324,p325","French chic: pink and white set layered over white inner top, refined texture for an elegant look, suitable for semi-formal occasions.",Spring/Summer,School/Social
b76,"p326,p327,p328,p329,p330","Playful cute: navy sweater with bow embellishments, paired with black flared trousers and light blue bag, detailed design for a cute look, suitable for daily outings.",Spring,Daily
b77,"p331,p332,p333,p334","British preppy: grey set with floral embellishments, lace hem for an artistic look, vintage academic style suitable for school.",Spring,School/Social
b78,"p335,p336,p337,p338,p339","Guochao street sportswear: black cardigan with colorful star embellishments, paired with yellow mini skirt and woven bag, personalized elements for a street look, suitable for trendy outings.",Spring,Daily/Social
b79,"p340,p341,p342,p343","Sweet-cool biker: black jacket with pink trim, paired with heart-patterned maxi skirt and beret, sweet-cool mix for personality, suitable for trendy occasions.",Spring,Daily/Travel
b80,"p344,p345,p346","French chic: pink and white set with lace details, fresh tones for a gentle look, suitable for summer semi-elegant scenes.",Spring/Summer,School/Social
b81,"p347,p348,p349,p350","American casual sportswear: grey-pink set with letter print, styled with pink socks and white shoes, fresh and comfortable color palette, suitable for daily street style.",Spring,Daily/Social
b82,"p351,p352,p353,p354,p355","Vintage festive style: navy down jacket with Christmas embellishments, paired with plaid trousers and a faux fur hat, combining warmth and holiday atmosphere, cute style.",Winter,Daily/Travel
b83,"p356,p357,p358,p359","Sweet-cool biker style: brown-pink colorblock down jacket with bow embellishments, paired with dark blue trousers and a pink bag, sweet-cool mix for a personalized look, suitable for winter street style.",Spring,Daily/Social
b84,"p360,p361,p362,p363,p364","British preppy style: brown-white striped set with skirt design, detailed embellishments for an artistic touch, vintage preppy look suitable for daily school wear.",Spring,Daily
b85,"p365,p366,p367,p368,p369","French chic style: goose yellow down jacket with plaid skirt, heart embellishments for a gentle look, suitable for winter semi-formal occasions.",Spring,Daily/Travel
b86,"p370,p371,p372,p373,p374,p375","Vintage festive style: black sweater with bear print, paired with a brown skirt and faux fur boots, red accents enhance the festive feel, soft and cute style.",Winter,Daily/Social
b87,"p376,p377,p378,p379,p380,p381,p382","Playful cute style: blue-brown striped sweater with scarf accessory, paired with a plaid bag and faux fur boots, cute elements suitable for children, perfect for daily casual wear.",Spring,Daily/Social
b88,"p383,p384,p385,p386,p387","American casual sportswear: brown-white set with heart embellishments, faux fur material for warmth, suitable for daily winter street style.",Winter,Daily/Travel
b89,"p388,p389,p390,p391","Sweet-cool biker style: off-white shearling jacket with star embellishments, paired with brown trousers, sweet-cool style suitable for trendy occasions.",Spring,Daily
b90,"p392,p393,p394,p395,p396,p397","French chic style: beige set with brown trim, paired with a faux fur bag and leather shoes, refined texture for an elegant look, suitable for semi-formal daily wear.",Spring,Daily/Social
b91,"p398,p399,p400","American casual sportswear: pink set with letter and heart embellishments, paired with white shoes, fresh and comfortable color palette, suitable for daily street style.",Spring,Daily/Social
b92,"p401,p402,p403,p404","British preppy style: brown-pink striped sweater with corduroy trousers, scarf accessory for a vintage artistic touch, suitable for daily school wear.",Spring,Daily
b93,"p405,p406,p407","American casual sportswear: light blue set with rose print, lace details at the hem for a gentle touch, suitable for daily casual wear.",Spring,Daily/School
b94,"p408,p409,p410,p411","French chic style: navy plaid set with Peter Pan collar design, refined and elegant, suitable for semi-formal occasions.",Summer,School/Social
b95,"p412,p413,p414","French chic style: pink-white plaid set with matching bag, gentle and refined, suitable for summer semi-formal occasions.",Spring/Summer,School/Social
b96,"p415,p416,p417,p418,p419","Sweet-cool biker style: polka dot top with black shorts, ribbon socks and studded shoes to enhance personality, suitable for trendy street style.",Summer,Daily/Social
b97,"p420,p421,p422,p423","American casual sportswear: light blue set with stitch details, simple and comfortable, suitable for daily street style or sports.",Spring,Daily/Sports
b98,"p424,p425,p426,p427","Chinese street sportswear: black sweatshirt with floral print, paired with lake blue trousers and a green bag, color-blocked design for a personalized look, suitable for trendy occasions.",Spring,Daily/Social
b99,"p428,p429,p430,p431,p432","British preppy style: off-white sailor collar sweatshirt with black skirt, star embellishments for an artistic touch, suitable for daily casual wear.",Spring,School/Social
b100,"p433,p434,p435,p436,p437","Playful cute style: black sweatshirt with rabbit print, paired with a faux fur bag, cute elements suitable for children, suitable for daily street style.",Spring,Daily/Social
b101,"p438,p439,p440","Playful cute style: black-pink set with cake and star print, paired with pink shoes, cute elements suitable for children, suitable for daily street style.",Summer,Daily/Social
b102,"p441,p442,p443","French chic style: black top with white bow embellishments, paired with a tulle skirt and lace-up shoes, elegant and refined, suitable for semi-formal occasions.",Summer,Daily/Social
b103,"p444,p445,p446","American casual sportswear: light blue sweatshirt with heart embellishments, paired with black flared trousers, comfortable with gentle details, suitable for daily casual wear.",Spring,Daily
b104,"p447,p448,p449","Sweet-cool biker style: black T-shirt with pearl bow embellishments, paired with a white tulle skirt, sweet-cool mix for a personalized look, suitable for trendy street style.",Summer,Daily/Social
b105,"p450,p451,p452,p453","American casual sportswear: brown-grey set, simple and comfortable, letter embellishments for texture, suitable for daily street style or school.",Spring,Daily
b106,"p454,p455,p456,p457,p458","British preppy style: black sweatshirt layered with a plaid collar, paired with khaki trousers, vintage preppy look, suitable for daily school wear.",Spring,Daily/School
b107,"p459,p460,p461","American casual sportswear: off-white sweatshirt with brand logo, paired with dark blue trousers, simple and trendy, suitable for daily sports.",Spring,Sports/Travel
b108,"p462,p463,p464","Chinese street sportswear: navy faux two-piece T-shirt with brown trousers, star embellishments for a personalized look, suitable for trendy street style.",Spring,Daily/Sports
b109,"p465,p466,p467,p468,p469","British preppy style: black sweatshirt layered with a red plaid collar, paired with grey trousers and a red hat, vintage color-blocking, suitable for daily casual wear.",Spring,Daily/School
b110,"p470,p471,p472,p473,p474","American casual sportswear: colorblock jacket with grey cargo trousers, brand logo enhances the trendy feel, suitable for daily street style.",Spring,Daily/Travel
b111,"p475,p476,p477","Chinese street sportswear: beige-black set with gold brand embellishments, simple with a trendy texture, suitable for daily street style.",Spring,Daily
b112,"p478,p479,p480","Playful cute style: black T-shirt with bear print, paired with black trousers, cute elements suitable for children, suitable for daily casual wear.",Summer,Daily/Social
b113,"p481,p482,p483,p484","Chinese street sportswear: black set with gold logo, paired with a visor cap, personalized and trendy, suitable for trendy street style.",Summer,Daily/Sports
b114,"p485,p486,p487","American casual sportswear: black-grey set with embossed letter details, side button design, suitable for daily sports.",Spring,Daily
b115,"p488,p489,p490,p491,p492","American casual sportswear: grey-white set with tennis gear, simple and comfortable, suitable for sports.",Spring,Sports
b116,"p493,p494,p495,p496","Chinese street sportswear: red-black set with brand logo, color-blocked design for a vibrant look, suitable for trendy street style.",Spring,Sports/Travel
b117,"p497,p498,p499","American casual sportswear: blue-white set with brand letters, simple and fresh, suitable for daily street style or sports.",Spring,Daily/Sports
b118,"p500,p501,p502,p503","Chinese street sportswear: black-grey set with slogan print, side stripes for a dynamic look, suitable for trendy street style.",Spring,Sports/Travel
b119,"p504,p505,p506,p507,p508","American casual sportswear: black-blue set with basketball gear, color-blocked design for a vibrant look, suitable for sports.",Spring,Sports
b120,"p509,p510,p511,p512","Chinese street sportswear: green-black set with brand logo, paired with a skateboard, trendy style suitable for street scenes.",Spring,Sports/Travel
b121,"p513,p514,p515,p516","American casual sportswear: beige and black set with baseball gear, branded logo for a dynamic look, suitable for sports occasions.",Spring,Sports
b122,"p517,p518,p519,p520,p521","Chinese street-style sportswear: color-block jacket layered over branded T-shirt, with skateboard, trendy look for street scenes.",Spring,Sports/Travel
b123,"p522,p523,p524,p525,p526","American casual sportswear: black set layered with plaid inner, with baseball gear, retro athletic style for daily wear.",Spring,Sports
b124,"p527,p528,p529,p530,p531","Chinese street-style sportswear: off-white sweatshirt with Chinese character print, contrast sneakers for personality, suitable for trendy street wear.",Spring,Daily/Sports
b125,"p532,p533,p534,p535","Chinese street-style sportswear: black and red set with skateboard, branded logo for a trendy look, suitable for street scenes.",Spring,Sports/Travel
b126,"p536,p537,p538,p539","American casual sportswear: black and gray set with basketball gear, contrast sneakers for a dynamic look, suitable for sports occasions.",Spring,Sports
b127,"p540,p541,p542,p543","Chinese street-style sportswear: green and white sweatshirt with slogan print, with skateboard, minimalist trendy look for daily wear.",Spring,Sports/Travel
b128,"p544,p545,p546","Chinese street-style sportswear: black set with ""CHINA"" logo, red accents for personality, suitable for trendy scenes.",Spring,Daily
b129,"p547,p548,p549,p550","American casual sportswear: gray set with ""PLAYER"" logo, with golf gear, comfortable for sports occasions.",Spring,Sports/Travel
b130,"p551,p552,p553,p554","Chinese street-style sportswear: black set with white slogan, contrast sneakers for a dynamic look, suitable for trendy street wear.",Spring,Daily/Sports
b131,"p555,p556,p557,p558,p559","Chinese street-style sportswear: light purple set with ""CHINA"" logo, with pink backpack, fresh colors for a dynamic look, suitable for daily wear.",Spring,Daily
b132,"p560,p561,p562,p563,p564","Playful children's style: gray set with colorful print, with yellow hat, cute elements for children, suitable for daily leisure.",Spring,Daily/Social
b133,"p565,p566,p567,p568,p569","American casual sportswear: blue and orange color-block jacket layered over white T-shirt, with dark blue trousers, minimalist and comfortable, suitable for daily wear.",Spring,Daily/Travel
b134,"p570,p571,p572,p573","American casual sportswear: white T-shirt with black shorts, with sports equipment, fresh look for sports occasions.",Summer,Sports
b135,"p574,p575,p576,p577,p578","Chinese street-style sportswear: navy set with ""CHINA"" logo, with sports gear, dynamic look for sports scenes.",Summer,Sports
b136,"p579,p580,p581,p582","Chinese street-style sportswear: blue and black set with branded slogan, contrast sneakers for personality, suitable for trendy street wear.",Spring,Daily/Social
b137,"p583,p584,p585","British collegiate style: off-white polo shirt with black jeans, minimalist and literary, suitable for daily school wear.",Spring,Daily
b138,"p586,p587,p588,p589","Playful children's style: light blue sweatshirt with sheep print, with black jeans, gentle and cute, suitable for daily leisure.",Spring,Daily/Social
b139,"p590,p591,p592,p593","Playful children's style: pink sweatshirt with animal print, with white trousers, sweet and fresh, suitable for daily wear.",Spring,Daily/Social
b140,"p594,p595,p596,p597","American casual sportswear: navy faux-layered top with cargo pants, with hiking poles, outdoor style for travel scenes.",Spring,Sports/Travel
b141,"p289,p599,p600","British collegiate style: off-white sweater with red heart print, with dark blue jeans, minimalist and literary, suitable for daily school wear.",Spring,Daily
b142,"p601,p602,p603,p604","American casual sportswear: gray set with tennis gear, stitching details for texture, suitable for sports occasions.",Spring,Sports/Travel
b143,"p605,p606,p607","Playful children's style: black T-shirt with cat print, with pink trousers, contrast design for a cute look, suitable for daily wear.",Spring,Daily/Social
b144,"p608,p609,p610,p611","Chinese street-style sportswear: navy striped sweatshirt with light gray cargo pants, yellow bag for personality, suitable for trendy scenes.",Spring,Daily
b145,"p612,p613,p614,p615","French chic style: yellow cardigan layered over white shirt, with gray pleated skirt, gentle and sophisticated, suitable for semi-formal occasions.",Spring,School/Social
b146,"p616,p617,p618,p619","American casual sportswear: black denim set layered over white T-shirt, retro style for daily wear.",Spring,Daily/Social
b147,"p620,p621,p622","American casual sportswear: black set with slogan print, with baseball gear, dynamic look for sports scenes.",Spring,Sports
b148,"p623,p624,p625","Playful children's style: black sweater with puppy print, with light blue jeans, cute elements for children, suitable for daily leisure.",Spring,Daily
b149,"p626,p627,p628,p629,p630","Playful children's style: gray sweatshirt with black cat print, with light blue jeans, fresh and cute, suitable for daily wear.",Spring,Daily/Social
b150,"p631,p632,p633,p634,p635","Chinese street-style sportswear: gradient sweater with letter print, with dark blue jeans, trendy look for daily wear.",Spring,Daily/Travel
b151,"p636,p637,p638,p639","American casual sportswear: navy color-block collar sweatshirt with light gray relaxed trousers, comfortable and trendy look, suitable for daily scenes.",Spring,Daily
b152,"p641,p642,p643,p644","American casual sportswear: navy faux-layered letter sweatshirt with light blue wide-leg jeans, personalized and comfortable look, suitable for daily leisure.",Spring,Daily/Social
b153,"p645,p646,p647","American casual sportswear: navy color-block striped polo shirt with light gray relaxed trousers, exquisite and casual details, suitable for casual sportswear style.",Spring,School/Social
b154,"p648,p649,p650","Chinese street-style sportswear: light green color-block hooded sweatshirt with dark gray cargo joggers, trendy and dynamic look, suitable for street leisure scenes.",Spring,Sports/Travel
b155,"p651,p652,p653","Chinese street-style sportswear: light blue tie-dye letter sweatshirt with light blue cargo jeans, personalized and eye-catching design, suitable for outdoor trendy outfits.",Spring,Sports/Travel
b156,"p654,p655,p656,p657,p658","American casual sportswear: navy striped letter long-sleeve shirt with light blue cargo jeans, fresh and minimalist color palette, suitable for daily leisure occasions.",Spring,Daily/Social
b157,"p659,p660,p661","American casual sportswear: light purple letter-decorated sweatshirt with light blue wide-leg jeans, casual and comfortable style, suitable for daily leisure scenes.",Spring,Daily
b158,"p662,p663,p664,p665,p666","American casual sportswear: light blue gradient letter long-sleeve shirt with dark blue striped jeans, minimalist and fresh look, suitable for daily leisure outfits.",Spring,Daily/Social
b159,"p667,p668,p669,p670","American casual sportswear: navy letter-print long-sleeve shirt with light blue cargo jeans, rich design details, suitable for daily leisure occasions.",Spring,Daily
b160,"p671,p672,p673,p674,p675","American casual sportswear: light gray hooded jacket layered over light gray letter sweatshirt, with navy cargo pants, sharp and casual look, suitable for daily scenes.",Spring,Daily/Travel
b161,"p676,p677,p678,p679","American casual sportswear: navy denim set with white T-shirt, refined and casual details, suitable for daily leisure.",Spring,Daily/Social
b162,"p680,p681,p682,p683,p684","Chinese street style: navy faux-two-piece letter sweatshirt with light blue cargo jeans, trendy and energetic, fits street style.",Spring,Daily
b163,"p685,p686,p687","Chinese street style: bright yellow letter long-sleeve top with navy cargo pants, fresh and eye-catching colorway, suitable for outdoor trendy outfits.",Spring,Sports/Travel
b164,"p688,p689,p690,p691","American casual sportswear: off-white letter long-sleeve top with light gray casual pants, minimalist and comfortable, suitable for daily leisure.",Spring,Sports
b165,"p692,p693,p694","Chinese street style: light purple color-block sweatshirt with navy cargo pants, personalized and trendy design, suitable for street leisure.",Spring,Daily/Sports
b166,"p695,p696,p697,p698,p699","Chinese street style: black and purple color-block tech jacket with matching cargo pants, sharp and cool, suitable for outdoor techwear style.",Spring,Sports/Travel
b167,"p700,p701,p702,p703","Cute children's style: light blue sweatshirt with white pleated skirt, soft and adorable colorway, fits children's cute aesthetic.",Spring,Daily/Social
b168,"p704,p705,p706","American casual sportswear: pale yellow color-block sweatshirt with light blue wide-leg jeans, casual and comfortable, suitable for daily leisure.",Spring,Daily
b169,"p707,p708,p709,p710","American casual sportswear: light blue color-block sweatshirt with navy cargo pants, fresh and energetic, suitable for daily leisure.",Spring,Sports
b170,"p711,p712,p713,p714,p715","Cute children's style: red animal embroidery cardigan with navy wide-leg pants, cute and refined patterns, fits children's cute aesthetic.",Spring,Daily/Social
b171,"p716,p717,p718,p719","Cute children's style: light blue letter sweatshirt with white lace-trim wide-leg pants, soft and fresh colorway, fits children's cute aesthetic.",Spring,Daily/Social
b172,"p720,p721,p722,p723","Cute children's style: light purple striped knit top with white tiered skirt, sweet and refined, suitable for children's daily leisure.",Spring/Summer,Daily/Social
b173,"p724,p725,p726,p727","Cute children's style: pink and blue color-block letter T-shirt with white tiered skirt, lively and cute design, fits children's cute aesthetic.",Summer,Daily/Social
b174,"p728,p729,p730","American casual sportswear: off-white striped sweater with dark blue wide-leg jeans, casual and comfortable, suitable for daily leisure.",Spring,Daily
b175,"p731,p732,p733","American casual sportswear: navy color-block striped polo shirt with light gray loose casual pants, refined and casual details, fits casual sportswear style.",Spring,School/Social
b176,"p734,p735,p736,p737,p738","Chinese street style: navy hooded jacket with letter T-shirt and light blue cargo jeans, trendy and sharp, suitable for street scenes.",Spring,Sports
b177,"p739,p740,p741","British collegiate style: navy cable-knit polo sweater with dark blue wide-leg jeans, vintage and literary, suitable for daily collegiate outfits.",Spring,Daily
b178,"p742,p743,p744,p745,p746,p747","Chinese street style: light purple color-block tech jacket with dark blue wide-leg jeans, personalized and trendy design, suitable for outdoor leisure.",Spring,Daily/Travel
