itemID,title,gender,style,outline,materials,color,pattern,detail,donning、doffing,URL link
p43,围巾印花灰色卫衣,通用款,童趣休闲卫衣,宽松H型,棉质抓绒面料,浅灰,胸前围巾印花、笑脸装饰,罗纹圆领、罗纹收口,套头式,https://detail.tmall.com/item.htm?abbucket=2&id=995501413449&mi_id=0000Kwa4aNWyFIMgF1Wz77zF_VAM0OHd_oJKB_xGXWSPu1Q&ns=1&priceTId=2147819617686426863595899e13a0&skuId=6149855342336&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%228da7a10c3c9fb9e1b8a491477f71ea42%22%7D&xxc=taobaoSearch
p44,米白半高领针织衫,通用款,简约基础款针织衫,修身型,针织面料,米白,无图案,半高领、长袖,套头式,https://item.taobao.com/item.htm?abbucket=2&id=974010060924&mi_id=0000nvkG_0JnIYX_140DT40RlYOxseVgZGM4wt7uUQOP0Ig&ns=1&priceTId=2147819617686427123847531e13a0&skuId=5924011184676&spm=a21n57.imgsearch.item.2&utparam=%7B%22aplus_abtest%22%3A%2284c7f564025d1b1b86e23871a09298c3%22%7D&xxc=taobaoSearch
p45,灰黑假两件裙裤,女款,甜美休闲裙裤,假两件型,弹力面料、针织,灰、黑,侧边条纹、品牌字母,松紧腰头、荷叶边裙摆,穿脱式,https://detail.tmall.com/item.htm?abbucket=2&id=994711586812&mi_id=0000Z5AYvY8rvyq0FErwsQFyh1m7YjDQHbFw5dHHd8GVntE&ns=1&priceTId=2147819617686427599992205e13a0&skuId=6141923371626&spm=a21n57.imgsearch.item.3&utparam=%7B%22aplus_abtest%22%3A%2283983a4fb5ea5c4af066655d02311813%22%7D&xxc=taobaoSearch
p46,黑金牛皮菱格包,通用款,轻奢时尚包袋,方形迷你型,牛皮、金属,黑、金,菱格纹、双C标,手提、斜挎双背法,开合式,https://dw4.co/t/A/1u6iZ9XQr
p47,浅灰毛毡搭扣鞋,通用款,休闲便鞋,套脚型,毛毡面料,浅灰,无图案,金属搭扣固定,穿脱式,https://dw4.co/t/A/1u6iZKMuz
p48,深棕皮质夹克,通用款,复古休闲夹克,宽松短款型,皮质面料,深棕,无图案,翻领、纽扣、工装口袋,系扣式,https://detail.tmall.com/item.htm?abbucket=2&id=817038794337&mi_id=0000-hegeR93pKki3KYSwJTQaH7t2qGQ0WDcveSv7eWteR4&ns=1&priceTId=2147819617686428370227346e13a0&skuId=6021724379268&spm=a21n57.imgsearch.item.19&utparam=%7B%22aplus_abtest%22%3A%2293f74357a6188c0c847d2a3433fa7fa0%22%7D&xxc=taobaoSearch
p49,浅蓝格纹衬衫,通用款,简约基础款衬衫,宽松直筒型,棉质面料,浅蓝,细格纹、品牌字母,翻领、单排扣,系扣式,https://detail.tmall.com/item.htm?abbucket=2&id=817038794337&mi_id=0000-hegeR93pKki3KYSwJTQaH7t2qGQ0WDcveSv7eWteR4&ns=1&priceTId=2147819617686428370227346e13a0&skuId=6021724379268&spm=a21n57.imgsearch.item.19&utparam=%7B%22aplus_abtest%22%3A%2293f74357a6188c0c847d2a3433fa7fa0%22%7D&xxc=taobaoSearch
p50,深灰条纹阔腿裤,通用款,复古休闲裤,宽松阔腿型,棉质面料,深灰,细条纹,高腰、褶皱设计,穿脱式,https://detail.tmall.com/item.htm?abbucket=2&id=817038794337&mi_id=0000-hegeR93pKki3KYSwJTQaH7t2qGQ0WDcveSv7eWteR4&ns=1&priceTId=2147819617686428370227346e13a0&skuId=6021724379268&spm=a21n57.imgsearch.item.19&utparam=%7B%22aplus_abtest%22%3A%2293f74357a6188c0c847d2a3433fa7fa0%22%7D&xxc=taobaoSearch
p51,户外运动鞋,通用款,户外机能风鞋,厚底户外型,网布、合成革,灰黑白,鞋身Salomon字母标,抽绳鞋带、防滑鞋底,穿脱式,https://dw4.co/t/A/1u6hNMpK2
p52,浅蓝立领羽绒服,女款,休闲保暖羽绒服,宽松短款型,羽绒填充面料,浅蓝,无图案,立领、拉链、侧插袋,拉链式,https://detail.tmall.com/item.htm?abbucket=2&id=995481289727&mi_id=0000GpL4OJbweQ1ssvAmYyzBW-9KkhH4fH4qXOqTcK8p9L4&ns=1&priceTId=2147819617686429031453234e13a0&skuId=6139275798178&spm=a21n57.imgsearch.item.2&utparam=%7B%22aplus_abtest%22%3A%223f6d0aa7ede4454981075847dbdd16b7%22%7D&xxc=taobaoSearch
p53,深棕笑脸紧身裤,女款,休闲基础款裤装,修身紧身型,弹力面料,深棕,裤身笑脸、字母装饰,高腰松紧腰头,穿脱式,https://item.taobao.com/item.htm?abbucket=2&id=994112915325&mi_id=0000tDBc_s_ofuzKhl2mP48OYLPOtvgQSPxwO3GyXPEFCYU&ns=1&priceTId=2147819617686429151383912e13a0&skuId=6140006895648&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22a1ec1c9a97cc0d9e0a85de90a3078c12%22%7D&xxc=taobaoSearch
p54,米白针织长袜套,女款,休闲配饰袜套,长筒型,针织面料,米白,无图案,罗纹针织纹理,穿脱式,https://item.taobao.com/item.htm?abbucket=2&id=994103915667&mi_id=00003J00UswVmMU40nFyI9UwOJu2G4IISrYTwoLQpfbqCxo&ns=1&priceTId=2147819617686429518565668e13a0&skuId=6139990899175&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22315427409196e7ea389c4ce7459c97bc%22%7D&xxc=taobaoSearch
p55,卡其绒面休闲鞋,女款,复古休闲鞋,低帮平底型,绒面革,卡其,无图案,撞色鞋带、简约鞋型,穿脱式,https://dw4.co/t/A/1u6h0ta1J
p56,爱心提花拼色毛衣,女款,复古休闲毛衣,宽松直筒型,针织面料,深棕、浅卡其,领口爱心提花、几何纹,圆领、长袖,套头式,https://detail.tmall.com/item.htm?abbucket=2&id=978351838967&mi_id=0000I0bzkTHH-BxbX6okiziz081x57rcZ47HOqKk9ex0RaM&ns=1&priceTId=214781c117687387587151608e116b&skuId=6099956314596&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%228b959369cce9ca902453a4295b53fa35%22%7D&xxc=taobaoSearch
p57,深蓝雪花刺绣牛仔裤,女款,甜美休闲牛仔裤,宽松阔腿型,牛仔面料,深蓝,口袋雪花刺绣装饰,松紧腰头、阔腿裤型,穿脱式,https://detail.tmall.com/item.htm?abbucket=2&id=979736196954&mi_id=0000yhPcJtpmK9PqGgq3QC3Ry6Q8BKF26El3bmwZ0aJV5xY&ns=1&priceTId=214781c117687387866072896e116b&skuId=6099975786390&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22f5a0490a8d72b0d733cc21ff108d76a0%22%7D&xxc=taobaoSearch
p58,卡其羊羔毛拖鞋,女款,休闲居家拖鞋,穆勒拖型,羊羔毛面料,卡其,无图案,全包脚保暖设计,穿脱式,https://dw4.co/t/A/1u7M8UkVX
p59,猫咪亮片条纹毛衣,女款,童趣休闲毛衣,宽松短款型,针织面料,浅蓝、黑,胸前猫咪亮片装饰、条纹,圆领、荷叶边下摆,套头式,https://detail.tmall.com/item.htm?abbucket=2&id=961161429199&mi_id=0000438x6QHS9e7bw4ecgLa-RaPqM6bwwffgtzLW0s_73U0&ns=1&priceTId=214781c117687389334484290e116b&skuId=6070646522161&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%223cae5440560f252e96933cc53ba7109f%22%7D&xxc=taobaoSearch
p60,深蓝菱格爱心牛仔裤,女款,复古休闲牛仔裤,宽松阔腿型,牛仔面料,深蓝,口袋菱格、爱心装饰,松紧腰头、阔腿裤型,穿脱式,https://detail.tmall.com/item.htm?abbucket=2&id=960510458789&mi_id=0000ZzLVG-oxWgvj0Ybnc55dZP2864NN_I367WptDI4wY8k&ns=1&priceTId=214781c117687389440505008e116b&skuId=5893426673995&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22519a73f5626de7d5674a15ed0686854a%22%7D&xxc=taobaoSearch
