itemID,category,title,gender,style,outline,materials,color,pattern,detail,donning/doffing
p42,shoes,light purple mesh sandals,Unisex,casual sandals,open-toe sandal silhouette,mesh and synthetic leather,light purple and white,Solid,Hook-and-loop closure,slip-on
p43,mid_layer_top,scarf print gray sweatshirt,Unisex,playful casual sweatshirt,loose H-line,cotton fleece,light gray,"Scarf print on chest, smiley face decoration","Ribbed crew neck, ribbed cuffs",pullover
p44,mid_layer_top,off-white mock neck knit sweater,Unisex,minimalist basic knitwear,slim fit,knit fabric,off-white,Solid,"Mock neck, long sleeves",pullover
p45,bottom,gray and black faux two-piece skort,Women's,sweet casual skort,faux-layered style,stretch fabric and knit,gray and black,"Side stripes, brand lettering","Elastic waistband, ruffled hem",slip-on
p46,bag,black and gold leather quilted bag,Unisex,luxury fashion bag,mini square silhouette,cowhide and metal,black and gold,"Diamond quilting, double-C logo",Handheld and crossbody carry options,open-front
p47,shoes,light gray felt buckle shoes,Unisex,casual loafers,slip-on style,felt,light gray,Solid,Metal buckle closure,slip-on
p48,outerwear,dark brown leather jacket,Unisex,vintage casual jacket,loose cropped fit,leather,dark brown,Solid,"Collared, button-up, cargo pockets",button-up
p49,inner_top,light blue plaid shirt,Unisex,minimalist basic shirt,loose straight-leg,cotton fabric,light blue,"Fine check, brand lettering","Collared, single-breasted",button-up
p50,bottom,dark gray striped wide-leg trousers,Unisex,vintage casual trousers,loose wide-leg,cotton fabric,dark gray,pinstripe,"High-waisted, pleated design",slip-on
p51,shoes,outdoor sneakers,Unisex,outdoor techwear shoes,chunky outdoor style,mesh and synthetic leather,"gray, black, and white",Salomon logo on shoe body,"Drawstring laces, non-slip sole",slip-on
p52,outerwear,light blue stand-collar down jacket,Women's,casual insulated down jacket,loose cropped fit,down-filled fabric,light blue,Solid,"Stand collar, zip-up, side slip pockets",zippered
p53,bottom,dark brown smiley face leggings,Women's,casual basic trousers,slim-fit bodycon,stretch fabric,dark brown,smiley face and letter embellishments on trousers,High-rise elastic waistband,slip-on
p54,accessory,off-white knitted leg warmers,Women's,casual leg warmers,knee-high silhouette,knit fabric,off-white,Solid,Ribbed knit texture,slip-on
p55,shoes,khaki suede casual shoes,Women's,vintage casual shoes,low-top flat silhouette,suede,khaki,Solid,"Contrast laces, minimalist silhouette",slip-on
p56,mid_layer_top,heart jacquard colorblock sweater,Women's,vintage casual sweater,loose straight-leg,knit fabric,dark brown and light khaki,heart jacquard and geometric pattern on collar,"Crew neck, long sleeves",pullover
p57,bottom,dark blue snowflake embroidered jeans,Women's,sweet casual jeans,loose wide-leg,denim,dark blue,snowflake embroidery on pocket,"Elastic waistband, wide-leg fit",slip-on
p58,shoes,khaki shearling slippers,Women's,casual house slippers,mule style,shearling,khaki,Solid,full-coverage warm design,slip-on
p59,mid_layer_top,cat sequin striped sweater,Women's,playful casual sweater,loose cropped fit,knit fabric,"light blue, black",cat sequin embellishment and stripes on chest,"crew neck, ruffled hem",pullover
p60,bottom,dark blue diamond heart jeans,Women's,vintage casual jeans,loose wide-leg,denim,dark blue,diamond pattern and heart embellishment on pocket,"Elastic waistband, wide-leg fit",slip-on
p61,bag,silver handbag,Women's,trendy fashion bag,mini Boston bag silhouette,patent leather,silver,NY embossed pattern and bow charm on bag,Handheld and crossbody carry options,zip-up
p62,shoes,black and white colorblock Mary Jane shoes,Women's,sweet vintage flats,flat low-cut silhouette,leather,"white, black",Solid,"bowknot decoration, hook-and-loop closure",slip-on
p63,outerwear,dark blue denim jacket with brown collar,Women's,vintage casual jacket,cropped loose fit,denim,"dark blue, brown",Solid,"collared, metal buttons, utility pockets",button-up
p64,inner_top,off-white mock neck base layer,Women's,minimalist basic top,slim fit,cotton fabric,off-white,letter embellishment on chest,"Mock neck, long sleeves",pullover
p65,bottom,dark blue denim pleated skirt,Women's,vintage casual skirt,cropped pleated style,denim,dark blue,"striped waistband and ""JY"" logo","Elastic waistband, pleated design",slip-on
p66,bag,brown leather mini handbag,Women's,luxury fashion bag,mini rectangular silhouette,cowhide,brown,embossed brand logo on bag,"tote, zipper closure",open-front
p67,shoes,white and blue casual shoes,Women's,casual sneakers,low-top flat silhouette,mesh and suede,"white, blue","""N"" logo on shoe body",Lace-up closure,slip-on
p68,onepiece,red bow sleeveless dress,Women's,sweet holiday dress,mid-length,glossy knit fabric,red,bow embellishment on skirt,"back zipper, sleeveless design",zippered
p69,mid_layer_top,off-white knitted base layer sweater,Women's,minimalist basic sweater,slim fit,knit fabric,off-white,small logo embellishment on back,"Mock neck, long sleeves",pullover
p70,shoes,brown leather platform loafers,Women's,vintage trendy flats,chunky loafer silhouette,patent leather,brown,Solid,"slip-on, platform sole",slip-on
p71,mid_layer_top,apple print gray knitted short sleeve,Women's,playful casual top,cropped fit,knit fabric,light gray,green apple embroidery and brand logo on chest,"crew neck, lettuce-edge hem",pullover
p72,bottom,light blue wide-leg jeans,Women's,vintage casual trousers,loose wide-leg,denim,light blue,Solid,"elastic waistband, pleated design",slip-on
p73,shoes,silver studded Mary Jane shoes,Women's,trendy vintage flats,flat low-cut silhouette,patent leather,silver,Solid,"stud embellishment, hook-and-loop closure",slip-on
p74,mid_layer_top,navy diamond pattern faux two-piece sweater,Women's,preppy casual sweater,loose fit,knit fabric,"navy, white",diamond jacquard and cherry embroidery,"faux two-piece Peter Pan collar, lettered cuffs",pullover
p75,bottom,navy lettuce-edge knitted skirt,Women's,sweet casual skirt,cropped fit,knit fabric,navy,Solid,multi-layered lettuce-edge design,slip-on
p76,accessory,diamond pattern knee-high socks,Women's,preppy socks,knee-high silhouette,cotton fabric,"white, gray, red",diamond jacquard and letter logo,Ribbed cuffs,slip-on
p77,shoes,black studded Mary Jane shoes,Women's,vintage preppy flats,low-heel low-cut silhouette,patent leather,black,Solid,"stud embellishment, hook-and-loop closure",slip-on
p78,mid_layer_top,penguin star gray knitted sweater,Women's,playful casual sweater,loose fit,knit fabric,"light gray, black, white","star and penguin embroidery, diamond pattern sleeves","crew neck, small hem label",pullover
p79,inner_top,white lettuce-edge mock neck top,Women's,sweet basic top,slim fit,cotton fabric,white,small logo on chest,"mock neck, double-layered lettuce-edge hem",pullover
p80,bottom,dark blue star wide-leg jeans,Women's,vintage casual trousers,loose wide-leg,denim,dark blue,star embroidery on leg opening,"elastic waistband, rolled hem",slip-on
p81,accessory,black graffiti beret,Women's,trendy casual hat,beret style,knit fabric,solid black,white graffiti logo on side,beanie fit,wearable
p82,shoes,brown leather fur-lined mules,Women's,vintage warm slippers,mule style,leather and plush,"brown, light brown",Solid,faux fur trim at collar,slip-on
p83,outerwear,off-white plaid bear hooded jacket,Women's,playful casual jacket,loose cropped fit,cotton fabric,"off-white, red","bear plaid embroidery on chest, plaid lining in hood","zipper closure, side pockets",zippered
p84,mid_layer_top,off-white mock neck knit sweater,Women's,minimalist basic top,slim fit,knit fabric,off-white,small logo embellishment on back,"Mock neck, long sleeves",pullover
p85,bottom,off-white wide-leg casual trousers,Women's,casual basic trousers,loose wide-leg,cotton fabric,off-white,small logo embellishment on side,"Elastic waistband, side slip pockets",slip-on
p86,bag,burgundy glossy handbag,Women's,luxury fashion bag,mini Boston bag silhouette,patent leather,burgundy,Solid,"tote, zipper closure",open-front
p87,shoes,red and white casual shoes,Women's,athletic casual shoes,low-top flat silhouette,suede and synthetic leather,"red, white",Puma logo on shoe body,Lace-up closure,slip-on
p88,inner_top,navy hooded long-sleeve top,Women's,athleisure top,slim cropped fit,cotton fabric,navy blue,"letter embellishment on chest, white side stripes on sleeves",hooded design,pullover
p89,bottom,navy faux two-piece culottes,Women's,sweet casual trousers,faux-layered style,cotton fabric,navy blue,white side stripes and letter embellishments,"elastic waistband, skirted hem",slip-on
p90,bag,beige bear charm handbag,Women's,playful fashion bag,mini Boston bag silhouette,leather,off-white,embossed pattern and bear charm on bag,"tote, zipper closure",open-front
p91,shoes,white ribbon-embellished casual sneakers,Women's,sweet casual flats,flat low-cut silhouette,leather,white,Solid,"ribbon laces, lettuce-edge side trim",slip-on
p92,mid_layer_top,beige bear-embroidered hooded sweater,Women's,playful casual top,loose cropped fit,knit fabric,"off-white, red, navy",bear embroidery on chest,"hooded, ribbed cuffs",pullover
p93,mid_layer_top,light blue mock-neck knit top,Women's,minimalist basic top,slim fit,knit fabric,light blue,Solid,"mock neck, ribbed texture",pullover
p94,bottom,khaki wide-leg casual trousers,Women's,casual basic trousers,loose wide-leg,cotton fabric,khaki,Solid,"elastic waistband, side seam trim",slip-on
p95,shoes,beige colorblock casual sneakers,Women's,vintage casual shoes,low-top flat silhouette,mesh and suede,off-white and brown,Solid,"color-block laces, breathable mesh",slip-on
p96,outerwear,black cat print red hooded jacket,Women's,trendy casual jacket,loose cropped fit,cotton fabric,"red, gray","black cat print on chest, striped lining in hood","zipper closure, side pockets",zippered
p97,mid_layer_top,black mock-neck knit top,Women's,minimalist basic top,slim fit,knit fabric,black,Solid,"mock neck, ribbed texture",pullover
p98,bottom,light blue wide-leg jeans,Women's,vintage casual trousers,loose wide-leg,denim,light blue,Solid,"elastic waistband, decorative leg stitching",slip-on
p99,shoes,white faux shearling buckle slides,Women's,warm casual slippers,mule style,shearling and leather,"white, brown",Solid,leather buckle decoration,slip-on
p100,outerwear,beige rose-embroidered hooded knit cardigan,Women's,gentle casual jacket,loose cropped fit,knit fabric,beige,"rose embroidery on cuff, small logo on hem","hooded, zipper closure",zippered
p101,inner_top,white and grey contrast-trim letter long-sleeve top,Women's,minimalist casual top,slim fit,cotton fabric,"white, gray",letter embellishment on chest,"crew neck, color-block cuffs and collar",pullover
p102,bottom,dark grey pleated skirt,Women's,preppy casual skirt,cropped fit,wool blend,dark gray,Solid,high-waisted pleated design,slip-on
p103,mid_layer_top,light grey knit leg warmers,Women's,warm leg warmers,long-length,knit fabric,light gray,Solid,ribbed texture,slip-on
p104,shoes,silver grey techwear sneakers,Women's,outdoor casual shoes,low-top chunky silhouette,mesh and synthetic leather,silver gray,brand logo on shoe body,"Drawstring laces, non-slip sole",slip-on
p105,mid_layer_top,beige puppy print hooded sweatshirt,Women's,playful casual top,loose fit,cotton fabric,"beige, brown, red",puppy print on chest,"hooded, color-block binding",pullover
p106,bottom,brown plaid bow-detail pleated skirt,Women's,sweet vintage skirt,cropped fit,wool blend,brown plaid,bow embellishment on skirt,high-waisted pleated design,slip-on
p107,accessory,white over-the-knee knit socks,Women's,basic socks,knee-high silhouette,cotton fabric,white,Solid,ribbed texture,slip-on
p108,shoes,brown leather platform ankle boots,Women's,vintage trendy ankle boots,mid-calf chunky silhouette,leather,brown,Solid,"buckle decoration, platform sole",slip-on
p109,mid_layer_top,red heart and white dove argyle sweater,Women's,vintage casual sweater,loose fit,knit fabric,"red, black, white",red heart and white dove jacquard,"crew neck, color-block sleeve stripes",pullover
p110,bottom,navy pony-embroidered wide-leg trousers,Women's,casual basic trousers,loose wide-leg,cotton fabric,navy blue,pony embroidery on trousers,elastic waistband,slip-on
p111,shoes,beige colorblock casual sneakers,Women's,vintage casual shoes,low-top flat silhouette,mesh and suede,off-white and brown,Solid,"color-block laces, breathable mesh",slip-on
p112,inner_top,smiley face print contrast-trim short-sleeve top,Women's,playful casual top,loose cropped fit,cotton fabric,"white, black",smiley face and small decorative prints on chest,"crew neck, color-block cuffs and collar",pullover
p113,bottom,multicolor-embellished black shorts,Women's,sweet casual shorts,cropped fit,cotton fabric,black,colorful small decorative prints on side,"high-waisted, lined design",slip-on
p114,bag,burgundy heart handbag,Women's,sweet fashion bag,heart-shaped,leather,burgundy,Solid,"tote, zipper closure",open-front
p115,accessory,white lettuce-edge socks,Women's,sweet socks,mid-calf silhouette,cotton fabric,white,Solid,"lettuce-edge cuffs, small label decoration",slip-on
p116,shoes,white casual sneakers,Women's,minimalist casual shoes,low-top flat silhouette,leather,white,brand logo on shoe body,Lace-up closure,slip-on
p117,mid_layer_top,fawn print colorblock sweater,Women's,playful casual sweater,loose fit,knit fabric,"off-white, blue, red",deer and letter prints on chest,"raglan sleeves, polka dot pattern",pullover
p118,bottom,navy faux two-piece culottes,Women's,sweet casual trousers,faux-layered style,cotton fabric,navy blue,heart and letter embellishments on side,"elastic waistband, skirted hem",slip-on
p119,accessory,burgundy knit scarf,Women's,warm scarf,long-length,knit fabric,burgundy,Solid,ribbed texture,wearable
p120,shoes,brown leather buckle warm shoes,Women's,vintage warm shoes,mule style,leather and plush,brown,Solid,"buckle decoration, faux fur lining",slip-on
p121,outerwear,whimsical print navy knit cardigan,Women's,sweet casual cardigan,loose cropped fit,knit fabric,navy blue,"mushroom, puppy, bow, star prints and letters","crew neck, colorful buttons",button-up
p122,inner_top,white lettuce-edge mock neck top,Women's,gentle basic top,slim fit,cotton fabric,white,small logo on chest,"mock neck, double-layered lettuce-edge hem",pullover
p123,accessory,glove-embellished grey wide-leg trousers,Women's,playful casual trousers,loose wide-leg,cotton fabric,gray,glove-shaped embellishment and letter logo on back waist,elastic waistband,slip-on
p124,accessory,white plush bucket hat,Women's,warm casual hat,bucket hat style,plush fabric,white,Solid,wide-brim fitted design,wearable
p125,shoes,grey fleece-lined buckle mules,Women's,vintage casual slippers,mule style,suede,gray,Solid,metal buckle detail,slip-on
p126,mid_layer_top,floral and number print sweatshirt,Women's,trendy casual top,loose cropped fit,cotton fabric,"off-white, red, blue",floral and numeric print on chest,"crew neck, side-stripe sleeves",pullover
p127,bottom,brown plaid pleated skirt,Women's,vintage preppy skirt,cropped fit,wool blend,brown plaid,Solid,high-waisted pleated design,slip-on
p128,bag,burgundy glossy handbag,Women's,luxury fashion bag,mini Boston bag silhouette,patent leather,burgundy,Solid,"tote, zipper closure",open-front
p129,accessory,white over-the-knee knit socks,Women's,basic socks,knee-high silhouette,cotton fabric,white,Solid,ribbed texture,slip-on
p130,shoes,burgundy patent leather T-strap flats,Women's,vintage sweet flats,low-heel low-cut silhouette,patent leather,burgundy,Solid,"T-strap, double buckle",slip-on
p131,inner_top,striped lace-paneled tank top,Women's,sweet casual top,cropped fit,cotton fabric,"white, black","striped, lace patchwork","crew neck, letter and heart logo",pullover
p132,bottom,lace-trimmed denim bermuda shorts,Women's,vintage casual trousers,bermuda shorts silhouette,denim,light blue,lace trim on pockets,"high-waisted, button closure",slip-on
p133,bag,black glossy handbag,Women's,minimalist fashion bag,mini Boston bag silhouette,patent leather,black,Solid,"tote, zipper closure",open-front
p134,accessory,white lettuce-edge mid-calf socks,Women's,sweet socks,mid-calf silhouette,cotton fabric,white,Solid,"lettuce-edge cuff, small logo",slip-on
p135,shoes,black patent leather bow loafers,Women's,vintage sweet flats,low-top flat silhouette,patent leather,black,Solid,bow detail on upper,slip-on
p136,inner_top,star and pegasus print sleeveless top,Women's,whimsical casual top,cropped fit,cotton fabric,"dark blue, gold","star, moon, pegasus, and scales print",halter neck,pullover
p137,bottom,star and pegasus print wide-leg trousers,Women's,whimsical casual trousers,wide-leg,cotton fabric,"dark blue, gold","star, moon, pegasus, and scales print",elastic waistband,slip-on
p138,bag,white lace cutout tote bag,Women's,gentle fashion bag,tote bag silhouette,lace,white,cut-out pattern,long shoulder strap,open-front
p139,shoes,off-white bow thong sandals,Women's,sweet casual slides,thong sandal silhouette,leather,off-white and brown,Solid,large bow detail on upper,slip-on
p140,outerwear,floral smiley face print knit cardigan,Women's,playful casual jacket,loose cropped fit,knit fabric,"navy, pink, yellow",floral smiley face and numeric print,"stand collar, zip closure",zippered
p141,inner_top,striped lace-paneled tank top,Women's,sweet casual top,cropped fit,cotton fabric,"white, black","striped, lace patchwork","crew neck, letter and heart logo",pullover
p142,bottom,lace-trimmed denim bermuda shorts,Women's,vintage casual trousers,bermuda shorts silhouette,denim,light blue,lace trim on pockets,"high-waisted, button closure",slip-on
p143,bag,black glossy handbag,Women's,minimalist fashion bag,mini Boston bag silhouette,patent leather,black,Solid,"tote, zipper closure",open-front
p144,accessory,white lettuce-edge mid-calf socks,Women's,sweet socks,mid-calf silhouette,cotton fabric,white,Solid,"lettuce-edge cuff, small logo",slip-on
p145,shoes,black patent leather bow loafers,Women's,vintage sweet flats,low-top flat silhouette,patent leather,black,Solid,bow detail on upper,slip-on
p146,inner_top,star and pegasus print sleeveless top,Women's,whimsical casual top,cropped fit,cotton fabric,"dark blue, gold","star, moon, pegasus, and scales print",halter neck,pullover
p147,bottom,star and pegasus print wide-leg trousers,Women's,whimsical casual trousers,wide-leg,cotton fabric,"dark blue, gold","star, moon, pegasus, and scales print",elastic waistband,slip-on
p148,bag,white lace cutout tote bag,Women's,gentle fashion bag,tote bag silhouette,lace,white,cut-out pattern,long shoulder strap,open-front
p149,shoes,off-white bow thong sandals,Women's,sweet casual slides,thong sandal silhouette,leather,off-white and brown,Solid,large bow detail on upper,slip-on
p150,outerwear,floral smiley face print knit cardigan,Women's,playful casual jacket,loose cropped fit,knit fabric,"navy, pink, yellow",floral smiley face and numeric print,"stand collar, zip closure",zippered
p151,shoes,black patent leather T-strap block heel pumps,Women's,vintage preppy flats,low-top block heel silhouette,patent leather,black,Solid,"T-strap, buckle, brogue detailing",slip-on
p152,outerwear,black loose-fit leather jacket,Women's,cool casual jacket,loose cropped fit,leather,black,Solid,"spread collar, zip closure, side pockets",zippered
p153,mid_layer_top,red ribbed knit top,Women's,minimalist basic top,slim fit,knit fabric,red,brand logo on chest,"crew neck, ribbed texture",pullover
p154,inner_top,star-embellished white lace collar top,Women's,sweet casual top,slim fit,cotton fabric,white,star embellishment on chest,"lace collar, lace cuffs",pullover
p155,bottom,grey textured pleated skirt,Women's,minimalist casual skirt,cropped fit,cotton fabric,gray,brand logo on side,"Elastic waistband, pleated design",slip-on
p156,accessory,white lettuce-edge knee-high socks,Women's,sweet socks,knee-high silhouette,cotton fabric,white,Solid,"lettuce-edge cuff, ribbed texture",slip-on
p157,shoes,black and white colorblock bow flats,Women's,sweet casual flats,low-top flat silhouette,leather,"white, black",Solid,"bow detail, T-strap",slip-on
p158,outerwear,pink and white rose heart knit cardigan,Women's,gentle casual jacket,loose cropped fit,knit fabric,off-white and pink,rose and heart jacquard,"stand collar, zip closure",zippered
p159,bottom,pink double-layer ruffled skirt,Women's,sweet casual skirt,mid-length,cotton fabric,pink,Solid,"elastic waistband, double-layer ruffle",slip-on
p160,shoes,beige colorblock casual sneakers,Unisex,vintage casual shoes,low-top flat silhouette,mesh and suede,off-white and brown,Solid,"color-block laces, breathable mesh",slip-on
p161,onepiece,beige and black plaid faux-two-piece dress,Women's,preppy sweet dress,cropped fit,knit and wool blend,off-white and black,"plaid pattern, heart logo on chest","crew neck cardigan, pleated skirt",button-up
p162,accessory,white ribbon-embellished knee-high socks,Women's,sweet socks,knee-high silhouette,cotton fabric,white,Solid,ribbon bow at cuff,slip-on
p163,shoes,black woven-detail loafers,Women's,vintage casual flats,low-top flat silhouette,leather,black,Solid,woven detail on upper,slip-on
p164,outerwear,star jacquard colorblock knit cardigan,Women's,gentle casual cardigan,cropped fit,knit fabric,off-white and black,"star jacquard, heart logo","crew neck, lace placket",button-up
p165,bottom,star jacquard colorblock pleated skirt,Women's,gentle casual skirt,cropped fit,knit fabric,off-white and black,star jacquard,"elastic waistband, lace hem",slip-on
p166,accessory,off-white contrast stripe mid-calf socks,Unisex,minimalist accessory socks,mid-calf silhouette,cotton fabric,"off-white, brown, black",striped cuffs,ribbed texture,slip-on
p167,shoes,black platform metal-buckle loafers,Women's,cool casual flats,low-top chunky silhouette,leather,black,Solid,"metal buckle detail, platform sole",slip-on
p168,mid_layer_top,navy argyle bow-tie knit top,Women's,preppy casual top,slim fit,knit fabric,"navy, off-white, red","argyle texture, bow tie","spread collar, contrast cuffs",pullover
p169,bottom,navy double-stripe pleated skirt,Women's,preppy casual skirt,cropped fit,knit fabric,"navy, white",double-striped hem,"Elastic waistband, pleated design",slip-on
p170,accessory,black bear-embellished beret,Women's,sweet casual headwear,beret style,suede fabric,black,bear embellishment on side,fitted head design,wearable
p171,shoes,brown multi-buckle tall boots,Women's,vintage cool boots,knee-high block heel silhouette,leather,brown,Solid,"multi-metal buckle detail on upper, platform sole",slip-on
