outfitID,items,look,season,occasion,URL link
b14,"p48,p49,p50,p51",英伦学院风：皮质外套叠穿条纹衬衫，配阔腿长裤与贝雷帽，复古文艺，适配日常学院风场景。,春,日常,https://detail.tmall.com/item.htm?abbucket=2&id=817038794337&mi_id=0000-hegeR93pKki3KYSwJTQaPML0g9X2aETjZlnE_ZgyHI&ns=1&priceTId=2150431117683994488946310e1993&skuId=6021724379265&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%2234a9b5e7af4eb2812cc0be9e5ab4b2f4%22%7D&xxc=taobaoSearch
b15,"p52,p53,p54,p55",海岛度假风：渐变蓝羽绒服配棕色裤装，搭堆堆长袜，色调清新柔和，宽松版型显休闲松弛感。,春,日常/运动,https://detail.tmall.com/item.htm?abbucket=2&id=995481289727&mi_id=0000GpL4OJbweQ1ssvAmYyzBW0g_NTM9AAJXhFQf3gChh8g&ns=1&priceTId=2150431117683994655977740e1993&skuId=6139275798178&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22cc3ecf76f8c2028e6508242e8a222ce7%22%7D&xxc=taobaoSearch
b16,"p56,p57,p58",复古节日风：爱心图案毛衣配深色阔腿裤，温暖色调加复古花纹，兼具节日氛围与日常休闲感。,春,日常,https://detail.tmall.com/item.htm?abbucket=2&id=978351838967&mi_id=0000I0bzkTHH-BxbX6okiziz01kQAY0xaA-uXgXgoJ0AQhU&ns=1&priceTId=2150431117683995267284880e1993&skuId=6099956314596&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%226ce790d1fc8c9757d3dd809488648751%22%7D&xxc=taobaoSearch
b17,"p59,p60,p61,p62",童趣软萌风：浅蓝条纹毛衣印猫咪装饰，配深色阔腿裤，图案可爱、色调柔和，契合孩童气质。,春,日常,https://detail.tmall.com/item.htm?abbucket=2&id=961161429199&mi_id=0000438x6QHS9e7bw4ecgLa-RelJAaIR9GXNv0QmGED2aJg&ns=1&priceTId=2150431117683995442476366e1993&skuId=6070646522161&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%225c1918bec18385643b4f51a333a8c014%22%7D&xxc=taobaoSearch
b18,"p63,p64,p65,p66,p67",法式小香风：牛仔套装配皮质装饰，加精致手提包，优雅简约，是轻法式的日常精致造型。,春,日常/社交,https://detail.tmall.com/item.htm?abbucket=2&id=839129998943&mi_id=0000TxFsOtzMSJLl4hPUDcDcQwOClOiNGMdvpYLkDUJE-UI&ns=1&priceTId=2150431117683995593907541e1993&skuId=5603825829905&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%229bcc3db86c8a6fa31a0aa96e072bd1aa%22%7D&xxc=taobaoSearch
b19,"p68,p69,p70",复古节日风：红色背心裙叠穿长袖内搭，装饰蝴蝶结元素，红色调显节日氛围，风格甜美精致。,春夏,日常/校园,https://detail.tmall.com/item.htm?abbucket=2&id=832740442235&mi_id=0000paynGNIiueC3CR8w9ZSI8uXiucQt-xmmVMyQa83AhMg&ns=1&priceTId=2150431117683995732358801e1993&skuId=5747625887222&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%2281ba152626a31ab1ddca13958b7a8f11%22%7D&xxc=taobaoSearch
b20,"p71,p72,p73",童趣软萌风：灰色短袖印苹果装饰，配浅色阔腿裤，下摆褶皱设计显可爱，整体轻松活泼。,夏,日常/出行,https://detail.tmall.com/item.htm?abbucket=2&id=891936924831&mi_id=0000OZEGJQO4cmQEbIpAeToCDRtOa9fVkvLSXbAU3_Z_Qzo&ns=1&priceTId=2150431117683995880472211e1993&skuId=6020636794647&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%226f3afd7b25bed9901f3f9306a6cad754%22%7D&xxc=taobaoSearch
b21,"p74,p75,p76,p77",英伦学院风：藏青菱格纹连衣裙配珍珠领与格纹袜，精致学院感，适配轻正式日常。,春,校园/社交,https://detail.tmall.com/item.htm?abbucket=2&id=961245925808&mi_id=00000JwJ8Poo4JP9gMeoEnFKTn4uPr41AtbBUkmAv6iEQgk&ns=1&priceTId=2150431117683996045223725e1993&skuId=6059448507402&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22cc796acf094ac45ee2980b0f2813ae2e%22%7D&xxc=taobaoSearch
b22,"p78,p79,p80,p81,p82",童趣软萌风：灰毛衣印卡通星星装饰，搭同元素阔腿裤与贝雷帽，可爱又有造型感。,春,日常,https://detail.tmall.com/item.htm?abbucket=2&id=984923557692&mi_id=0000QVmbi1TBbLs3lip8pAqKzMSJux28gaz-LMxM3tWXTOk&ns=1&priceTId=2150431117683996304096228e1993&skuId=6112430455791&spm=a21n57.imgsearch.item.2&utparam=%7B%22aplus_abtest%22%3A%22bc01a8406c5089359a4cbf39985bdc54%22%7D&xxc=taobaoSearch
b23,"p83,p84,p85,p86,p87",美式休闲运动风：米白套装印小熊装饰，配红鞋与手提包，柔和色调显休闲甜美。,春,日常/社交,https://detail.tmall.com/item.htm?abbucket=2&id=836988448798&mi_id=0000ctUOZQsyLFBwMeFmCQlsULRaei2Vg8bdrSohmwnBpeE&ns=1&priceTId=2150431117683996479977878e1993&skuId=5595572409922&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%229f6c2d3f6af5222081dc7eec7c80551c%22%7D&xxc=taobaoSearch
b24,"p88,p89,p90,p91",国潮街头运动风：藏青连帽套装加不规则裙摆设计，简约中带个性，适配日常出街。,春,日常,https://detail.tmall.com/item.htm?abbucket=2&id=954275499046&mi_id=0000znjWMLqYFCitCCCy1dbZXoXQZj892aHxofrIGPL1dGw&ns=1&priceTId=2150431117683996673112108e1993&skuId=6044381050797&spm=a21n57.imgsearch.item.2&utparam=%7B%22aplus_abtest%22%3A%221dbe151bcf38a868139b59d5837e3d24%22%7D&xxc=taobaoSearch
b25,"p92,p93,p94,p95",童趣软萌风：米白毛衣印小熊装饰，搭卡其阔腿裤，柔和清新，契合孩童气质。,春,日常/运动,https://detail.tmall.com/item.htm?abbucket=2&id=832435991671&mi_id=0000bkrfseYinwhzT-QnVQhga8KCKy1Z-xy66l1fJMLfx9M&ns=1&priceTId=2150431117683996826013312e1993&skuId=5819727498708&spm=a21n57.imgsearch.item.3&utparam=%7B%22aplus_abtest%22%3A%22009db029347fa0446c62de313fac654e%22%7D&xxc=taobaoSearch
b26,"p96,p97,p98,p99",复古节日风：红色连帽外套配浅蓝阔腿裤，装饰卡通元素，红调显节日氛围。,夏,日常/出行,https://detail.tmall.com/item.htm?abbucket=2&id=978376358431&mi_id=0000oOGIPGsO-JHBRIaMDKacvd_8wIZWB92J_8IeL18ivWQ&ns=1&priceTId=2150431117683997307687319e1993&skuId=5935289217886&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22073f298173c6e803ab042b406a3e93d7%22%7D&xxc=taobaoSearch
b27,"p100,p101,p102,p103,p104",法式小香风：米白开衫叠穿白T配灰百褶裙，袖口玫瑰装饰显精致，适配轻优雅场合。,春,日常/社交,https://detail.tmall.com/item.htm?abbucket=2&id=843504334560&mi_id=0000_VMupyz_tiYu-KoalfZYiswG3SDZC7ys7NGN-MrktxI&ns=1&priceTId=2150431117683997495678965e1993&skuId=5787086718513&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22efb5397fcb62bed0d79d7683610b7c7c%22%7D&xxc=taobaoSearch
b28,"p105,p106,p107,p108",英伦学院风：米白卫衣印卡通装饰，搭格纹百褶裙与棕靴，复古学院感拉满。,春,日常/运动,https://detail.tmall.com/item.htm?abbucket=2&id=836053427682&mi_id=0000Djc5WWj8_AvhdCpXIe4Q7xy7Vv9Ex0U3i4347osou2s&ns=1&priceTId=2150431117683997748303404e1993&skuId=5762362219016&spm=a21n57.imgsearch.item.3&utparam=%7B%22aplus_abtest%22%3A%2280fdd96d5108e990119d8fdbbffcb258%22%7D&xxc=taobaoSearch
b29,"p109,p110,p111",复古节日风：红毛衣印爱心白鸽装饰，搭藏青阔腿裤，红藏配色显温暖节日感。,春,日常/校园,https://detail.tmall.com/item.htm?abbucket=2&id=836727152735&mi_id=0000rjsBuSnePAamJJHqctE6omUWn0ouSivAusj6tOvU2gw&ns=1&priceTId=2150431117683998333481087e1993&skuId=5592204980640&spm=a21n57.imgsearch.item.3&utparam=%7B%22aplus_abtest%22%3A%22be08057ac1252b062659ae3da36362f2%22%7D&xxc=taobaoSearch
b30,"p112,p113,p114,p115,p116",童趣软萌风：白短袖印笑脸装饰，配黑短裤与花边袜，活泼可爱，适配夏日休闲。,夏,日常/出行,https://detail.tmall.com/item.htm?abbucket=2&id=907437000912&mi_id=0000vc9GgrpcWL5A4JyDTIB7HJ-6PJIvasKBbmVvq7FdH6I&ns=1&priceTId=2147800b17684002760227292e1057&skuId=6175061578539&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22026f21943e0ab05acde33802dd5d271d%22%7D&xxc=taobaoSearch
b31,"p117,p118,p119,p120",童趣软萌风：蓝白拼接毛衣印小鹿装饰，搭红围巾与黑阔腿裤，色彩明快可爱，适配日常休闲。,冬,日常/出行,https://detail.tmall.com/item.htm?abbucket=2&id=984940037975&mi_id=0000FDjzYGWZg0louvweVbx62K-zEXUeuh5TxEbMEXqPx6c&ns=1&priceTId=2147800b17684003434804878e1057&skuId=6112422815787&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%2205c89298a0331d4691cd059d9d18e7d6%22%7D&xxc=taobaoSearch
b32,"p121,p122,p123,p124,p125",国潮街头运动风：藏青开衫缀卡通装饰，搭灰阔腿裤与毛绒帽，个性又舒适，适合出街造型。,春,日常,https://detail.tmall.com/item.htm?abbucket=2&id=983679143610&mi_id=0000x5t_vnsl33jNYUYaF2qoVBRGbLUAEwPZcaNJ7fMxbRw&ns=1&priceTId=2147800b17684004353644321e1057&skuId=6111635078444&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22e7e4831dad715e0095885e098ede0eb2%22%7D&xxc=taobaoSearch
b33,"p126,p127,p128,p129,p130",英伦学院风：米白毛衣印花朵装饰，搭棕百褶裙与中筒袜，复古学院感，适配轻正式场合。,春,日常/社交,https://detail.tmall.com/item.htm?abbucket=2&id=836957808425&mi_id=0000bZY9PR2k_nNKbvPzhw8wjAVZHfl1r5Xm-oiXIae9K9I&ns=1&priceTId=2150430817684006499023566e131c&skuId=5868216919609&spm=a21n57.imgsearch.item.2&utparam=%7B%22aplus_abtest%22%3A%228e8e24b451a2a4a7eba3dbee444617ca%22%7D&xxc=taobaoSearch
b34,"p131,p132,p133,p134,p135",美式休闲运动风：条纹背心叠穿白T，搭牛仔中裤与花边袜，清爽随性，适合夏日日常。,夏,日常/出行,https://detail.tmall.com/item.htm?abbucket=2&id=902503343624&mi_id=0000I2GJrIeldJl55fxtxb42y11HguSGrnjF-Cd5YRPQcwM&ns=1&priceTId=2150430817684006665835372e131c&skuId=5762303277218&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22cb8d873d3e3c4b893e1371a1c1c88860%22%7D&xxc=taobaoSearch
b35,"p136,p137,p138,p139",海岛度假风：藏青星座印花套装，搭编织包与凉鞋，松弛清新，适配度假场景。,夏,日常/社交,https://detail.tmall.com/item.htm?abbucket=2&id=903318445409&mi_id=0000odb6Jk41oy336x5a7T4d0LbS1DdV4Dt2EPywZYSLCjM&ns=1&priceTId=2150430817684006848647158e131c&skuId=6004516124673&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%2280963ebf1bd67996a93152e64d1d387f%22%7D&xxc=taobaoSearch
b36,"p140,p141,p142,p143",童趣软萌风：藏青套装印花朵笑脸装饰，搭粉围巾，色彩活泼可爱，契合孩童气质。,冬,日常/出行,https://detail.tmall.com/item.htm?abbucket=2&id=828721802312&mi_id=0000chsvOlUNK9Yk8IFvSjNFnIW4NCEihWjHWJHTyvcD6G0&ns=1&priceTId=2150430817684006989848497e131c&skuId=5593403825059&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22583f07c3df9f942c0fa0a78c755f1b31%22%7D&xxc=taobaoSearch
b37,"p144,p145,p146,p147",美式休闲运动风：灰色套装缀精致装饰，搭白T与手提包，简约精致，适配日常出街。,春,日常,https://detail.tmall.com/item.htm?abbucket=2&id=961813148257&mi_id=0000SdIZ3AqPCbslQ5muZtsZzyGb7rAPBJeJg19whlu2orc&ns=1&priceTId=2150430817684007183422580e131c&skuId=6059418139948&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22d3e8e67b1a244b462ed00b2fa83aeb68%22%7D&xxc=taobaoSearch
b38,"p148,p149,p150,p151",法式小香风：白背心叠穿条纹衫，搭黑短裤与皮鞋，优雅精致，适合轻正式场合。,夏,日常/校园,https://detail.tmall.com/item.htm?abbucket=2&id=869474413214&mi_id=0000gnUJ5yPjUaPtmVH8XUVmxU7E4-sopUM_Q_x6QrMsOHs&ns=1&priceTId=2150430817684007361804161e131c&skuId=5697653112866&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%2212a97d2c030329f1b9a4f3e9bd483aa4%22%7D&xxc=taobaoSearch
b39,"p152,p153,p154,p155,p156,p157",甜酷机车风：黑皮衣叠穿红毛衣，搭灰百褶裙，甜酷混搭，个性又时尚。,春,日常/社交,https://detail.tmall.com/item.htm?abbucket=2&id=960582518430&mi_id=0000Zo-2-nGod3rd8ViNjMgP0LTztDDgpHLvEP9D29s67Ks&ns=1&priceTId=2150430817684007498305442e131c&skuId=6072103114413&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%222ecf97eab5627eca263486c84c546f30%22%7D&xxc=taobaoSearch
b40,"p158,p159,p160",法式小香风：粉白毛衣印爱心装饰，搭粉长裙，柔和精致，适配温柔系日常。,春夏,日常/校园,https://detail.tmall.com/item.htm?abbucket=2&id=837061280442&mi_id=0000eZeBX8igojqmla-EWs_f61XS_hv89vmhSxZ9BhrQWhE&ns=1&priceTId=213e090217684011927987334e1354&skuId=5593344264092&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22e7729ef236a1d9f10edf5ab2bf2042d6%22%7D&xxc=taobaoSearch
b41,"p161,p162,p163",法式小香风：米白菱格纹开衫配黑格百褶裙，精致优雅，适配轻正式日常场合。,春,校园/社交,https://detail.tmall.com/item.htm?abbucket=2&id=862059919881&mi_id=0000wQXm2rWhC_kCzI-lcPGOjCxX1-rQWD6uq7ENK2Kixx4&ns=1&priceTId=213e090217684013428762093e1354&skuId=5710274652067&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22a3b62861d0ed0038ef6b4331d1877a2f%22%7D&xxc=taobaoSearch
b42,"p164,p165,p166,p167",法式小香风：米白印花套装搭撞色袜，温柔精致，契合甜美女童风格。,春,日常,https://detail.tmall.com/item.htm?abbucket=2&id=966049648257&mi_id=0000lz5T_ss6JkaQ4xnTX4G64f4PxTfM3nrI7NJYI9QXL3A&ns=1&priceTId=213e090217684013835194942e1354&spm=a21n57.imgsearch.item.2&utparam=%7B%22aplus_abtest%22%3A%22c5dd33db13ea3a293925baaa72f272b3%22%7D&xxc=taobaoSearch&skuId=5906139052337
b43,"p168,p169,p170,p171",英伦学院风：藏青菱格毛衣配同色百褶裙，搭贝雷帽与皮靴，复古学院感拉满。,春,日常/社交,https://detail.tmall.com/item.htm?abbucket=2&id=862970080835&mi_id=0000o2V7pnLstha1DwoehZh0rkRfG36CJobPK9FXVHi1q04&ns=1&priceTId=213e090217684014226587677e1354&skuId=5851393995207&spm=a21n57.imgsearch.item.3&utparam=%7B%22aplus_abtest%22%3A%221ea5bdd73917d5c73706964cca5f86f3%22%7D&xxc=taobaoSearch
b44,"p172,p173,p174,p175",英伦学院风：粉灰菱格背心叠穿白长袖，配灰百褶裙，色调柔和显文艺气质。,春,日常/运动,https://detail.tmall.com/item.htm?abbucket=2&id=961755269101&mi_id=0000jPoR1CUdIsuNrwIHuBaXdk1cW8WLagXzUKCW2GMDNfE&ns=1&priceTId=213e090217684014405541035e1354&skuId=6060521482326&spm=a21n57.imgsearch.item.2&utparam=%7B%22aplus_abtest%22%3A%22e0f2a325e7bba253cb080a9f692d4046%22%7D&xxc=taobaoSearch
b45,"p176,p177,p178,p179",复古节日风：红底花纹毛衣配红百褶裙，红调与复古花纹，节日氛围浓厚。,春夏,日常/社交,https://detail.tmall.com/item.htm?abbucket=2&id=862819884667&mi_id=00008jRkg10xMTsmfuD50eRRLun_yqBvyZ7JpTFNSfD-RbY&ns=1&priceTId=213e090217684014569682225e1354&skuId=5683670797700&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%2216f6767b7de21fac1573b5e595554177%22%7D&xxc=taobaoSearch
b46,"p180,p181,p182,p183,p184",美式休闲运动风：藏青棒球服搭菱格短裤，学院与运动风结合，舒适又有造型感。,春,校园/社交,https://detail.tmall.com/item.htm?abbucket=2&id=969163238631&mi_id=0000HRKj1NZxbVlrX_x2VM_hZrgGcxEeAC3_nPpcPmS7xHw&ns=1&priceTId=213e090217684014715503074e1354&skuId=6084334775978&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22628ab049ebe38a238953aac8de5f4421%22%7D&xxc=taobaoSearch
b47,"p185,p186,p187,p188,p189",童趣软萌风：浅蓝套装印卡通装饰，搭银鞋与灰袜，可爱活泼，适配孩童日常。,春夏,日常/运动,https://detail.tmall.com/item.htm?abbucket=2&id=832536391322&mi_id=0000v8wFrMaXVS8_OvD3PiXf1o-gh2uDZW2x4qUuVK-iKY8&ns=1&priceTId=213e090217684014874374110e1354&skuId=5577202504026&spm=a21n57.imgsearch.item.2&utparam=%7B%22aplus_abtest%22%3A%2293c31b46e0a08fa0d5162dc5ef7772af%22%7D&xxc=taobaoSearch
b48,"p190,p191,p192,p193,p194,p195",甜酷机车风：米白羊羔毛外套叠穿印花毛衣，搭红裙与雪地靴，甜酷混搭显个性。,冬,日常/出行,https://detail.tmall.com/item.htm?abbucket=2&id=978356090981&mi_id=0000NMU5WTnb4-oS9aZQAy-TeQb3wJVv4NmWXY3phb3ou1w&ns=1&priceTId=213e090217684015212886329e1354&skuId=5935241625494&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22ed97ba0a57115654909648989f5d3073%22%7D&xxc=taobaoSearch
b49,"p196,p197,p198,p199,p200,p201",英伦学院风：蓝白格纹套装叠穿条纹衫，搭皮鞋，清新学院感，适配日常上学。,春,校园/社交,https://detail.tmall.com/item.htm?abbucket=2&id=819173739496&mi_id=0000mz9-fl3VtyVJhAxpWu9q2LZ6HUNyhPoXfpaAr42ODBU&ns=1&priceTId=213e090217684015332637259e1354&skuId=5702538303848&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%223498b523f81c4c3c84475624d28bf1ba%22%7D&xxc=taobaoSearch
b50,"p202,p203,p204,p205",童趣软萌风：浅蓝条纹开衫叠穿卡通T恤，搭黑长裙，可爱与优雅兼顾，适配休闲出街。,春,日常,https://detail.tmall.com/item.htm?abbucket=2&id=960505626024&mi_id=0000S96JpJdWKCMAUpeHzBu5DQKah32JvPWjd9mJKVsj90s&ns=1&priceTId=213e090217684015521248623e1354&skuId=5893410853975&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22259b1bec52a33478dd0fd9e963dc4ef4%22%7D&xxc=taobaoSearch
b51,"p206,p207,p208",英伦学院风：条纹背心叠穿连帽衫，搭配格纹阔腿裤，复古格纹与叠穿设计营造文艺感，适配日常休闲场景。,夏,日常/出行,https://detail.tmall.com/item.htm?abbucket=2&id=960004767720&mi_id=0000Gytds3O_qXaJEcFCYEK4yb-FJOMn8XJiuQaHqIzE9ZQ&ns=1&priceTId=213e090217684015734942225e1354&skuId=5893375177362&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22f3c1d686640da7aa095b636856d87a0d%22%7D&xxc=taobaoSearch
