itemID,category,title,gender,style,outline,materials,color,pattern,detail,donning/doffing
p18,accessory,textured knit bucket hat,Unisex,casual decorative bucket hat,form-fitting headwear,cotton,light khaki,knit bucket hat,"Fine knit texture, structured crown, fits most head sizes, serves as an accessory to add depth to the look",direct wear
p19,shoes,leopard and cow print Birkenstock-style slides,Men's,trendy casual slides,flatform sole,leather,leopard print,buckled platform,"Leopard print, buckle design for style, platform sole for height and comfort, suitable for daily outdoor wear",slip-on
p20,outerwear,distressed washed denim jacket,Men's,vintage casual denim jacket,loose fit,denim,ochre,denim jacket,"Distressed washed finish, collared single-breasted design, loose fit suitable for layering, vintage and casual",button closure
p21,inner_top,distressed plaid patchwork pocket shirt,Men's,vintage casual long-sleeve shirt,loose fit,cotton,coffee plaid,plaid shirt,"Plaid texture with patch pocket detailing, loose fit suitable for solo or layered wear, vintage and casual",button closure
p22,inner_top,minimalist solid color versatile long-sleeve T-shirt,Men's,casual basic top,regular fit,cotton,black,crew neck,"Solid color base layer, suitable for layering, can be worn alone with accessories, soft and skin-friendly fabric, regular length",pullover
p23,inner_top,minimalist solid color versatile long-sleeve T-shirt,Men's,casual basic top,regular fit,cotton,white,crew neck,"Solid color base layer, suitable for layering, can be worn alone with accessories, soft and skin-friendly fabric, regular length",pullover
p24,bottom,minimalist versatile casual trousers,Men's,minimalist commuter casual trousers,straight fit,cotton,khaki,straight-leg trousers,"High-rise, good drape, structured fit without being tight, suitable for commute, casual, and other occasions",zipper closure
p25,bag,crossbody handbag,Unisex,minimalist business commuter bag,Kelly bag,leather,black,handbag,"Structured bag with metal lock closure, spacious capacity, functional and stylish, suitable for commuting",top handle
p26,shoes,platform square-toe derby shoes,Men's,vintage trendy casual leather shoes,platform sole,leather,black,platform derby shoes,"Round toe with lace-up design, platform sole for height and anti-slip, leather texture for a refined look, versatile styling",lace-up
p27,mid_layer_top,letter print hooded sweatshirt,Men's,trendy casual hooded top,loose fit,cotton,off-white gray,hooded pullover,"Letter print, basic hooded style, soft and comfortable fabric, suitable for daily casual wear",pullover
p28,inner_top,plaid loose-fit long-sleeve shirt,Men's,vintage casual shirt,loose drop-shoulder fit,cotton,blue and white,plaid shirt,"Fresh plaid texture, loose drop-shoulder design, suitable for solo or layered wear, casual and vintage",button closure
p29,bottom,distressed washed wide-leg jeans,Men's,vintage trendy jeans,wide-leg fit,denim,blue,wide-leg denim,"Washed distressed finish with circular patch details, loose and edgy fit, reinforces vintage trend aesthetic",zipper closure
p30,accessory,distressed raw-edge chunky knit beanie,Men's,streetwear decorative knit beanie,stretch fit,knit,black gray and vintage blue,distressed raw-edge,"Chunky knit texture, distressed raw edges and fringe design, elastic fit for head sizes 53-65cm, decorative and warm",closed-toe
p31,shoes,striped low-top casual sneakers,Men's,German army trainers,low-top flat sole,"leather, suede",off-white and black striped,athletic sneakers,"Classic stripe detail, rubber sole for anti-slip and durability, suitable for daily casual, commute, and other occasions",lace-up
p32,outerwear,detachable collar reversible down jacket,Men's,minimalist warm padded jacket,loose fit,cotton,dark green,collared jacket,"Collared single-breasted design, loose fit suitable for layering, warm, suitable for autumn and winter daily wear",zipper closure
p33,inner_top,leopard print loose-fit shirt,Men's,trendy casual shirt,loose drop-shoulder fit,cotton,leopard print,printed shirt,"All-over leopard print, loose drop-shoulder design, suitable for solo or layered wear, trendy aesthetic",button closure
p34,inner_top,minimalist solid color versatile long-sleeve T-shirt,Men's,casual basic top,regular fit,cotton,white,crew neck,"Solid color base layer, suitable for layering, can be worn alone with accessories, soft and skin-friendly fabric, regular length",pullover
p35,bottom,American vintage curved-leg cargo trousers,Men's,minimalist commuter casual trousers,straight fit,cotton,apricot,straight-leg wide-leg,"High-rise, good drape, loose fit without being tight, suitable for commute, casual, and other occasions",zipper closure
p36,accessory,raw-edge knit beanie,Unisex,casual decorative knit beanie,stretch fit,knit,off-white,raw-edge knit,"Fine knit texture with raw edge detail, elastic fit for most head sizes, warm and decorative",closed-toe
p37,shoes,suede mule slides,Unisex,comfortable casual slides,flat sole,suede,dark brown,mules,"Suede material for comfort, backless slide silhouette, suitable for home and light outdoor wear",slip-on
p38,inner_top,American vintage workwear denim shirt,Men's,vintage casual shirt,loose drop-shoulder fit,denim,blue,denim shirt,"Distressed washed finish, loose drop-shoulder design, suitable for solo or layered wear, vintage and casual",button closure
p39,inner_top,minimalist solid color versatile long-sleeve T-shirt,Men's,casual basic top,regular fit,cotton,white,crew neck,"Solid color base layer, suitable for layering, can be worn alone with accessories, soft and skin-friendly fabric, regular length",pullover
p40,bottom,slub-textured washed jeans,Men's,vintage casual jeans,wide-leg fit,denim,blue,wide-leg denim,"Washed distressed finish, wide-leg fit to flatter the legs, suitable for daily casual, street, and other occasions",zipper closure
p41,bag,bread print canvas tote bag,Unisex,casual commuter tote bag,open-top large capacity,canvas,off-white base with print,printed tote bag,"Bread pattern print, open-top design, spacious capacity, suitable for daily commuting, shopping, and other occasions",top handle
p42,shoes,blue pocket Birkenstock-style clogs,Men's,trendy casual slides,flat sole,leather,light blue,denim patchwork,"Denim patchwork design, slide silhouette with buckle detail, casual and trendy, suitable for daily outdoor wear",slip-on
p43,outerwear,color-block striped knit cardigan,Men's,vintage casual knit cardigan,loose drop-shoulder fit,cotton,black blue and white colorblock,color-block striped,"Color-block stripe texture with badge details, single-breasted design, loose fit suitable for layering, vintage and trendy",button closure
p44,inner_top,minimalist solid color versatile long-sleeve T-shirt,Men's,casual basic top,regular fit,cotton,black,crew neck,"Solid color base layer, suitable for layering, can be worn alone with accessories, soft and skin-friendly fabric, regular length",pullover
p45,bottom,drapey black casual dress trousers,Men's,minimalist commuter casual trousers,straight wide-leg fit,cotton,black,straight-leg trousers,"High-rise, good drape, structured fit without being tight, suitable for commute, casual, and other occasions",zipper closure
p46,accessory,patch pocket black bucket hat,Unisex,trendy casual bucket hat,form-fitting headwear,cotton,solid black,patch-pocket bucket hat,"Side patch pocket and brand logo detail, structured crown, fits most head sizes, decorative and functional",direct wear
p47,shoes,platform square-toe derby shoes,Men's,vintage trendy casual leather shoes,platform sole,leather,black,platform derby shoes,"Round toe with lace-up design, platform sole for height and anti-slip, leather texture for a refined look, versatile styling",lace-up
p48,inner_top,plaid zippered cropped shirt,Men's,vintage casual cropped shirt,cropped loose fit,cotton,green and brown plaid,cropped plaid,"Plaid texture with half-zip design, cropped fit to optimize proportions, suitable for layering or solo wear, vintage aesthetic",zipper closure
p49,inner_top,minimalist solid color versatile long-sleeve T-shirt,Men's,casual basic top,regular fit,cotton,black,crew neck,"Solid color base layer, suitable for layering, can be worn alone with accessories, soft and skin-friendly fabric, regular length",pullover
p50,bottom,drawstring pleated cargo pants,Men's,streetwear utility trousers,loose straight fit,cotton,black,multi-pocket cargo,"3D cargo pockets and drawstring waist, loose fit suitable for layering, functional and trendy",drawstring and zipper closure
p51,accessory,black wide-brim felt fedora,Unisex,vintage casual fedora,wide-brim structured,wool blend,solid black,wide-brim fedora,"Wide-brim structured design, holds shape well, suitable for vintage, commute, and other occasions, adds refinement",direct wear
p52,shoes,leopard and cow print Birkenstock-style slides,Men's,trendy casual slides,flatform sole,leather,leopard print,buckled platform,"Leopard print, buckle design for style, platform sole for height and comfort, suitable for daily outdoor wear",slip-on
p53,inner_top,plaid cinched-waist cropped shirt,Men's,vintage casual cropped shirt,cropped cinched-waist fit,cotton,blue and white plaid,cinched-waist plaid,"Plaid texture with cinched waist, cropped fit to optimize proportions, suitable for layering or solo wear, casual and refined",button closure
p54,inner_top,letter print long-sleeve T-shirt,Men's,trendy casual long-sleeve top,loose fit,cotton,navy blue,letter print,"Letter print, loose fit suitable for daily casual wear, works as a base layer or solo piece",pullover
p55,mid_layer_top,half-zip cable-knit sweater,Men's,minimalist casual knit top,loose drop-shoulder fit,knit,off-white,cable-knit,"Cable knit texture with half-zip design, soft and warm fabric, loose fit suitable for solo or layered wear",half-zip pullover
p56,bottom,distressed wide-leg jeans,Men's,vintage casual jeans,wide-leg fit,denim,dark denim,wide-leg denim,"Distressed wash, wide-leg fit to flatter the legs, suitable for daily casual and streetwear occasions",zipper closure
p57,accessory,letter-print baseball cap,Unisex,casual decorative baseball cap,form-fitting headwear,cotton,navy blue,letter print,"Letter graphic print, adjustable cap circumference, fits most head sizes, serves as an accessory to complete the look",direct wear
p58,shoes,suede mid-top work boots,Men's,outdoor casual utility boots,mid-top fit,leather,tan,mid-top work boots,"Suede material with metal buckle detail, non-slip and wear-resistant rubber sole, suitable for outdoor and commuting",lace-up
p59,inner_top,striped letter-print shirt,Men's,trendy casual long-sleeve shirt,loose drop-shoulder fit,cotton,navy blue and white striped,striped print,"Textured stripe with letter print, loose drop-shoulder design, suitable for layering or wearing alone, enhances trendy appeal",button closure
p60,inner_top,minimalist solid color versatile long-sleeve T-shirt,Men's,casual basic top,regular fit,cotton,black,crew neck,"Solid color base layer, suitable for layering, can be worn alone with accessories, soft and skin-friendly fabric, regular length",pullover
p61,bottom,draped loose-fit casual trousers,Men's,minimalist commuter casual trousers,wide-leg fit,cotton,dark taupe,wide-leg casual,"High-rise, good drape, loose fit without being tight, suitable for commute, casual, and other occasions",zipper closure
p62,shoes,mid-top wheat boots,Men's,outdoor casual utility boots,mid-top fit,leather,wheat,work boots,"Shock-absorbing and waterproof, lace-up closure, suitable for outdoor and daily wear, classic yellow boot design",lace-up
p63,inner_top,striped letter-print polo shirt,Men's,trendy casual polo shirt,loose drop-shoulder fit,cotton,black and white striped,striped print,"Textured stripe with letter print, contrast color polo collar, loose fit suitable for layering or wearing alone",pullover
p64,inner_top,minimalist solid color versatile long-sleeve T-shirt,Men's,casual basic top,regular fit,cotton,white,crew neck,"Solid color base layer, suitable for layering, can be worn alone with accessories, soft and skin-friendly fabric, regular length",pullover
p65,bottom,draped loose-fit casual trousers,Men's,minimalist commuter casual trousers,wide-leg fit,cotton,dark taupe,wide-leg casual,"High-rise, good drape, loose fit without being tight, suitable for commute, casual, and other occasions",zipper closure
p66,shoes,mid-top wheat boots,Men's,outdoor casual utility boots,mid-top fit,leather,wheat,work boots,"Shock-absorbing and waterproof, lace-up closure, suitable for outdoor and daily wear, classic yellow boot design",lace-up
p67,inner_top,plaid patchwork shirt,Men's,vintage casual long-sleeve shirt,loose fit,cotton,gray and black plaid,plaid patchwork,"Plaid textured hem paneling, loose fit suitable for layering or wearing alone, combines vintage and designer aesthetics",button closure
p68,inner_top,minimalist solid color versatile long-sleeve T-shirt,Men's,casual basic top,regular fit,cotton,white,crew neck,"Solid color base layer, suitable for layering, can be worn alone with accessories, soft and skin-friendly fabric, regular length",pullover
p69,bottom,multi-pocket cuffed cargo pants,Men's,streetwear utility trousers,jogger fit,cotton,light khaki,cuffed cargo style,"3D cargo pockets with drawstring cuffs, loose fit suitable for layering, functional and trendy",zipper closure
p70,accessory,striped silk scarf,Unisex,decorative casual silk scarf,triangular scarf,cotton,black and white,striped silk scarf style,"Textured stripe, triangular scarf shape, can be used as a neck or bag accessory to add depth to the outfit",tie-fastening
p71,shoes,platform square-toe derby shoes,Men's,vintage trendy casual leather shoes,platform sole,leather,black,platform derby shoes,"Round toe with lace-up design, platform sole for height and anti-slip, leather texture for a refined look, versatile styling",lace-up
p72,inner_top,letter print long-sleeve T-shirt,Men's,casual trendy long-sleeve top,loose fit,cotton,khaki,letter print,"Letter print for a trendy look, loose fit for daily casual wear, soft skin-friendly cotton fabric, suitable for layering or wearing alone",pullover
p73,inner_top,minimalist solid color versatile long-sleeve T-shirt,Men's,casual basic top,regular fit,cotton,white,crew neck,"Solid color base layer, suitable for layering, can be worn alone with accessories, soft and skin-friendly fabric, regular length",pullover
p74,bottom,draped loose-fit casual trousers,Men's,minimalist commuter casual trousers,wide-leg fit,cotton,dark taupe,solid wide-leg style,"High-waisted design to optimize proportions, good drape, loose fit without restriction, suitable for commuting and casual wear",zipper closure
p75,accessory,leopard-print faux fur beanie,Unisex,vintage warm knit beanie,stretch fit,knit,leopard print,leopard print plush style,"Leopard print for a vintage style, plush material for warmth and comfort, elastic fit for most head sizes, both decorative and practical",direct wear
p76,shoes,striped low-top casual sneakers,Men's,vintage casual skate shoes,low-top flat sole,leather,orange and white striped,striped sneaker style,"Classic stripe, lightweight and breathable canvas material, non-slip and wear-resistant rubber sole, suitable for daily casual and street style",lace-up
p77,inner_top,cartoon-print long-sleeve T-shirt,Men's,playful casual long-sleeve top,loose fit,cotton,khaki,cartoon pattern style,"Cartoon print for a playful touch, loose fit for daily casual wear, soft skin-friendly cotton fabric, suitable for layering or wearing alone",pullover
p78,inner_top,plaid loose-fit long-sleeve shirt,Men's,vintage casual shirt,loose drop-shoulder fit,cotton,brown and gray plaid,plaid shirt,"Plaid texture for a vintage feel, loose drop-shoulder design suitable for layering or wearing alone, combines casual and stylish elements",button closure
p79,bottom,draped loose-fit casual trousers,Men's,minimalist commuter casual trousers,wide-leg fit,cotton,light khaki,solid wide-leg style,"High-waisted design to optimize body proportions, soft drape, loose fit suitable for layering in various scenarios, comfortable and stylish",zipper closure
p80,accessory,letter-embellished houndstooth cap,Unisex,vintage casual flat cap,form-fitting headwear,cotton,brown and gray houndstooth,letter embellished style,"Houndstooth texture for a vintage style, letter decoration for brand recognition, adjustable cap circumference fits most head sizes, enhances outfit layering",direct wear
p81,shoes,suede mule slides,Unisex,comfortable casual slides,flat sole,suede,dark brown,mules,"Suede material for comfort, backless slide silhouette, suitable for home and light outdoor wear",slip-on
p82,inner_top,tie-dye long-sleeve top,Men's,trendy casual long-sleeve top,loose fit,knit,black and gray tie-dye,tie-dye texture style,"Tie-dye process for a unique visual effect, loose fit for daily casual wear, soft skin-friendly fabric, suitable for layering or wearing alone",pullover
p83,inner_top,minimalist solid color versatile long-sleeve T-shirt,Men's,casual basic top,regular fit,cotton,white,crew neck,"Solid color base layer, suitable for layering, can be worn alone with accessories, soft and skin-friendly fabric, regular length",pullover
p84,bottom,draped loose-fit casual trousers,Men's,minimalist commuter casual trousers,wide-leg fit,cotton,light khaki,solid wide-leg style,"High-waisted design to optimize body proportions, soft drape, loose fit suitable for layering in various scenarios, comfortable and stylish",zipper closure
p85,accessory,logo-embellished beret,Unisex,vintage casual beret,form-fitting headwear,wool blend,black,logo style,"Classic beret style for a vintage look, brand logo for recognition, soft material fits most head sizes, enhances the atmosphere of the outfit",direct wear
p86,bag,letter-embellished tote bag,Unisex,casual commuter tote bag,open-top large capacity,leather,black,letter embellished style,"Letter logo with rivet decoration for a trendy look, open-top design with ample capacity, suitable for daily commuting and shopping, practical and decorative",single shoulder
p87,shoes,platform square-toe derby shoes,Men's,vintage trendy casual leather shoes,platform sole,leather,black,platform derby shoes,"Round toe with lace-up design, platform sole for height and anti-slip, leather texture for a refined look, versatile styling",lace-up
p88,mid_layer_top,metal-buckle knit sweater,Men's,minimalist casual knit top,loose fit,knit,black,metal buckle embellished style,"Knitted texture for a delicate feel, metal collar buckle for design appeal, soft and warm fabric, loose fit suitable for layering or wearing alone",pullover
p89,mid_layer_top,solid-color turtleneck knit sweater,Men's,minimalist warm knit top,loose fit,knit,off-white,high-neck solid style,"High-neck design for added warmth, solid color fits various styles, soft skin-friendly fabric, suitable as a base layer or worn alone",pullover
p90,bottom,multi-pocket cuffed cargo pants,Men's,streetwear utility trousers,jogger fit,cotton,black,multi-pocket cargo,"3D cargo pockets with drawstring cuffs, loose fit suitable for layering, distressed details for a street style, functional and trendy",zipper closure
p91,shoes,platform square-toe derby shoes,Men's,vintage trendy casual leather shoes,platform sole,leather,black,platform derby shoes,"Round toe with lace-up design, platform sole for height and anti-slip, leather texture for a refined look, versatile styling",lace-up
p92,mid_layer_top,metal-buckle knit sweater,Men's,minimalist casual knit top,loose fit,knit,khaki,metal buckle embellished style,"Knitted texture for a delicate feel, metal collar buckle for design appeal, soft and warm fabric, loose fit suitable for layering or wearing alone",pullover
p93,inner_top,minimalist solid color versatile long-sleeve T-shirt,Men's,casual basic top,regular fit,cotton,black,crew neck,"Solid color base layer, suitable for layering, can be worn alone with accessories, soft and skin-friendly fabric, regular length",pullover
p94,inner_top,minimalist solid color versatile long-sleeve T-shirt,Men's,casual basic top,regular fit,cotton,white,crew neck,"Solid color base layer, suitable for layering, can be worn alone with accessories, soft and skin-friendly fabric, regular length",pullover
p95,bottom,multi-pocket cuffed cargo pants,Men's,streetwear utility trousers,jogger fit,cotton,black,multi-pocket cargo,"3D cargo pockets with drawstring cuffs, loose fit suitable for layering, distressed details for a street style, functional and trendy",zipper closure
p96,accessory,patch pocket black bucket hat,Unisex,trendy casual bucket hat,form-fitting headwear,cotton,solid black,patch-pocket bucket hat,"Side patch pocket and brand logo detail, structured crown, fits most head sizes, decorative and functional",direct wear
p97,shoes,platform square-toe derby shoes,Men's,vintage trendy casual leather shoes,platform sole,leather,black,platform derby shoes,"Round toe with lace-up design, platform sole for height and anti-slip, leather texture for a refined look, versatile styling",lace-up
p98,outerwear,leather-pocket knit cardigan,Men's,American vintage casual cardigan,loose fit,cotton,deep stone black,leather pocket style,"Contrast between soft knit fabric and structured leather pockets, metal buttons for detail, loose fit suitable for layering, fits American vintage style",button closure
p99,inner_top,minimalist solid color versatile long-sleeve T-shirt,Men's,casual basic top,regular fit,cotton,white,crew neck,"Solid color base layer, suitable for layering, can be worn alone with accessories, soft and skin-friendly fabric, regular length",pullover
p100,bottom,metal-ring wide-leg dress trousers,Men's,commuter minimalist wide-leg trousers,straight fit,cotton,black,metal ring embellished style,"Loose wide-leg design to flatter the legs, metal ring waist detail for visual focus, side stripes for depth, wrinkle-resistant fabric, suitable for commuting and business casual",zipper closure
p101,accessory,patch pocket black bucket hat,Unisex,trendy casual bucket hat,form-fitting headwear,cotton,solid black,patch-pocket bucket hat,"Side patch pocket and brand logo detail, structured crown, fits most head sizes, decorative and functional",direct wear
p102,shoes,platform square-toe derby shoes,Men's,vintage trendy casual leather shoes,platform sole,leather,black,platform derby shoes,"Round toe with lace-up design, platform sole for height and anti-slip, leather texture for a refined look, versatile styling",lace-up
p103,outerwear,embroidered contrast-collar denim jacket,Men's,vintage trendy denim jacket,loose fit,cotton,dark blue,embroidered style,"Denim fabric with contrast leather collar for texture contrast, embroidered pattern for vintage style, zip closure for layering, casual and stylish",zipper closure
p104,inner_top,minimalist solid color versatile long-sleeve T-shirt,Men's,casual basic top,regular fit,cotton,black,crew neck,"Solid color base layer, suitable for layering, can be worn alone with accessories, soft and skin-friendly fabric, regular length",pullover
p105,inner_top,minimalist solid color versatile long-sleeve T-shirt,Men's,casual basic top,regular fit,cotton,white,crew neck,"Solid color base layer, suitable for layering, can be worn alone with accessories, soft and skin-friendly fabric, regular length",pullover
p106,bottom,loose-fit wide-leg suit trousers,Men's,commuter minimalist dress trousers,wide-leg fit,cotton,light gray,solid wide-leg style,"Loose wide-leg design to flatter the legs, good drape, suitable for commuting and business casual, pairs well with various tops",zipper closure
p107,shoes,platform square-toe derby shoes,Men's,vintage trendy casual leather shoes,platform sole,leather,black,platform derby shoes,"Round toe with lace-up design, platform sole for height and anti-slip, leather texture for a refined look, versatile styling",lace-up
p108,outerwear,embroidered contrast-collar denim jacket,Men's,vintage trendy denim jacket,loose fit,cotton,dark blue,embroidered style,"Denim fabric with contrast leather collar for texture contrast, embroidered pattern for vintage style, zip closure for layering, casual and stylish",zipper closure
p109,inner_top,stud-embellished long-sleeve shirt,Men's,trendy casual long-sleeve shirt,loose drop-shoulder fit,cotton,deep magenta,stud embellished style,"Rivet decoration on shoulders and cuffs for a trendy look, loose drop-shoulder design suitable for layering or wearing alone, casual and stylish",button closure
p110,inner_top,minimalist solid color versatile long-sleeve T-shirt,Men's,casual basic top,regular fit,cotton,black,crew neck,"Solid color base layer, suitable for layering, can be worn alone with accessories, soft and skin-friendly fabric, regular length",pullover
p111,bottom,loose-fit wide-leg suit trousers,Men's,commuter minimalist dress trousers,wide-leg fit,cotton,light gray,solid wide-leg style,"Loose wide-leg design to flatter the legs, good drape, suitable for commuting and business casual, pairs well with various tops",zipper closure
p112,shoes,platform square-toe derby shoes,Men's,vintage trendy casual leather shoes,platform sole,leather,black,platform derby shoes,"Round toe with lace-up design, platform sole for height and anti-slip, leather texture for a refined look, versatile styling",lace-up
p113,outerwear,contrast-trim knit cardigan,Men's,minimalist casual knit cardigan,loose fit,knit,dark blue,contrast trim style,"Knitted texture with contrast placket trim, button closure for easy wear, soft and warm fabric, suitable for daily casual layering",button closure
p114,inner_top,minimalist solid color versatile long-sleeve T-shirt,Men's,casual basic top,regular fit,cotton,black,crew neck,"Solid color base layer, suitable for layering, can be worn alone with accessories, soft and skin-friendly fabric, regular length",pullover
p115,bottom,belted wide-leg casual trousers,Men's,minimalist commuter casual trousers,wide-leg fit,cotton,light beige,belted style,"Belt decoration to optimize waist proportions, wide-leg fit to flatter the legs, soft drape, suitable for commuting and casual wear",zipper and belt closure
p116,shoes,platform square-toe derby shoes,Men's,vintage trendy casual leather shoes,platform sole,leather,black,platform derby shoes,"Round toe with lace-up design, platform sole for height and anti-slip, leather texture for a refined look, versatile styling",lace-up
p117,outerwear,contrast-trim knit cardigan,Men's,minimalist casual knit cardigan,loose fit,cotton,dark green,contrast trim style,"Knitted texture with contrast placket trim, button closure for easy wear, soft and warm fabric, suitable for daily casual layering",button closure
p118,inner_top,minimalist solid color versatile long-sleeve T-shirt,Men's,casual basic top,regular fit,cotton,black,crew neck,"Solid color base layer, suitable for layering, can be worn alone with accessories, soft and skin-friendly fabric, regular length",pullover
p119,inner_top,minimalist solid color versatile long-sleeve T-shirt,Men's,casual basic top,regular fit,cotton,white,crew neck,"Solid color base layer, suitable for layering, can be worn alone with accessories, soft and skin-friendly fabric, regular length",pullover
p120,bottom,distressed wide-leg jeans,Men's,vintage casual jeans,wide-leg fit,corduroy,dark gray,distressed wide-leg style,"Distressed wash for a vintage texture, wide-leg fit to flatter the legs, cotton-spandex blend for structure and stretch, suitable for daily casual wear",zipper closure
p121,accessory,distressed letter baseball cap,Unisex,vintage casual baseball cap,form-fitting headwear,cotton,grayish blue,letter embellished style,"Distressed finish for a vintage style, letter logo for recognition, breathable and comfortable pure cotton fabric, adjustable cap circumference fits most head sizes",direct wear
p122,accessory,patterned silk scarf,Unisex,decorative casual silk scarf,long scarf,wool,gray-based patterned,patterned style,"Silk fabric for a smooth texture, patterned texture for decoration, can be used as a neck or bag accessory to enhance outfit layering",tie-fastening
p123,shoes,vintage-wash platform mules,Men's,niche trendy casual slides,platform slip-on,suede,khaki,distressed platform style,"Distressed finish with metal buckle decoration, platform design with rivets for a stylish look, suitable for daily casual and street style",slip-on
p124,inner_top,distressed short-sleeve T-shirt,Men's,trendy casual short-sleeve top,loose fit,cotton,tan,distressed style,"Distressed collar and frayed hem details for a trendy look, soft skin-friendly pure cotton fabric, loose fit suitable for daily casual wear",pullover
p125,bottom,patchwork denim jeans,Men's,streetwear cargo jeans,loose fit,cotton,deep black,paneled cargo style,"Side paneling for a cargo style, structured and wear-resistant cotton-spandex blend, suitable for street casual layering",zipper closure
p126,accessory,knit bucket hat,Unisex,warm casual bucket hat,form-fitting headwear,knit,tan,knit texture style,"Wool knit fabric for warmth, textured pattern for depth, elastic cap fits most head sizes, suitable for autumn and winter casual wear",direct wear
p127,bag,suede gloves and crossbody bag set,Unisex,vintage casual accessory set,glove-style crossbody,leather,tan,solid suede style,"Suede material for a smooth texture, glove and crossbody bag set to complete the look, suitable for autumn and winter vintage styles",handheld
p128,bag,monogram-print handbag,Unisex,classic commuter handbag,large capacity bag,leather,tan monogram,monogram pattern style,"Coated canvas for durability and easy care, leather trim for texture, large capacity for commuting and travel, practical and classic",top handle and shoulder carry
p129,shoes,leopard and cow print Birkenstock-style slides,Men's,trendy casual slides,flatform sole,leather,leopard print,buckled platform,"Leopard print, buckle design for style, platform sole for height and comfort, suitable for daily outdoor wear",slip-on
p130,outerwear,plaid contrast-collar jacket,Men's,vintage casual jacket,loose fit,knit,light gray plaid,contrast collar plaid style,"Structured cotton-polyester plaid fabric, contrast leather collar for vintage style, zip closure with drawstring hem for versatile wear",zipper closure
p131,inner_top,minimalist solid color versatile long-sleeve T-shirt,Men's,casual basic top,regular fit,cotton,black,crew neck,"Solid color base layer, suitable for layering, can be worn alone with accessories, soft and skin-friendly fabric, regular length",pullover
