itemID,title,gender,style,outline,materials,color,pattern,detail,donning/doffing,URL link
p14,黑色菱格纹链条单肩包,女款,菱格纹链条包,绗缝菱格包身版型,皮革面料,黑色,菱格纹,金属链条肩带,单肩/斜挎佩戴，通过开合扣使用,https://detail.tmall.com/item.htm?abbucket=8&id=954205199647&mi_id=0000z3I1gj4Cfibel6W2HxZJlMmhgaVZgJPQ4nYZr2n2AlA&ns=1&priceTId=214784e717689945415603819e1193&skuId=5877768916801&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%220573bc4f81f7f7c379b2185cab982322%22%7D&xxc=taobaoSearch
p15,深灰菱格纹长袜,女款,撞色菱格袜,中筒长袜版型,棉质混纺面料,深灰色、黑色,菱格纹,菱格图案装饰,直接穿脱,https://item.taobao.com/item.htm?abbucket=8&id=652157320080&mi_id=0000vTar_FEvF_FnwyHIrpIQt8BKTVJvgZY7IEyEv5n2SUo&ns=1&priceTId=213e0ac317689947564005374e11e7&skuId=4711396649425&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22526c8fbbc65074f21866083e4897ba89%22%7D&xxc=taobaoSearch
p16,黑色金属标乐福鞋,女款,厚底乐福鞋,乐福鞋经典版型,皮革面料,黑色,厚底鞋型，鞋身带金属标志,鞋头金属标识装饰,直接穿脱,https://detail.tmall.com/item.htm?abbucket=8&id=645916460576&mi_id=0000lIoZlLD6CmH_gLQhpNylggsvsCjWeeGHeY4HNLHu0b8&ns=1&priceTId=213e0ac317689948458385898e11e7&skuId=5786801518852&spm=a21n57.imgsearch.item.10&utparam=%7B%22aplus_abtest%22%3A%22f61cbe992da39cfcc1886acc6f074782%22%7D&xxc=taobaoSearch
p17,黑色长款毛呢外套,女款,通勤简约大衣,宽松长款版型,毛呢面料,黑色,翻领+单排纽扣，长款版型，带小装饰标,纽扣开合设计,直接穿脱，通过纽扣系合,https://item.taobao.com/item.htm?id=692149898933&mi_id=00004QhlyANbTVycdIoXB3H-bRRTqW2BNoJDJoTD_2RuS74&spm=a21xtw.29978518.0.0&xxc=shop&sku_properties=1627207%3A28341
p18,灰色条纹针织马甲,女款,学院风V领背心,无袖马甲版型,针织面料,灰色、粉色,V领，撞色条纹，绞花纹理，带小装饰标,条纹装饰，领口小标识,套头穿脱,https://item.taobao.com/item.htm?ft=t&id=681996896439&pisk=gVbnxufDIM-QN9kaoY8QY08pOREOseTWUT3JeUpzbdJ194FC9GAPeON7OeCyETX9C638O6IiZs6GE3NBeLJle_SL6rUAO6TWzT2YkrFvES4FKY8yL7kwaQF9TOdqYr8Wz-eka57MoU6HyirZT1PMwQOETTJr7VJ6ZYuPUp-ZQIAXzLWPUd5wgI3eT2ue_FJ6MYREYDoZ_Bdxz2oFU1PMidJyzHWP_5AWQLllq4JczN_ae2b6KdCcVNAHxK5gc4ukRqKe3OJZz-Svtr9VTd0rzKYZxt1G9J0f6e_fnIBL72XcGN6M_tzuIU614TRlQrMJRiBClhXL0V5w5d-2QZkEYIYHKn7ebrF1T3SGSeQUFm1Osp-DWGE_p3LhKi9XYlw1E1vdUwxZKRpRD1QejtytSTtlc_dlKy0F3gWSbmoDj4OawNoSVHR6sKCS8R1nF-57w5Vickte1BeYs5mSVHR6sKFgsmMWYCOLH&spm=pc_detail.30350276.202205.4.21cc671dwHYuRW
p19,白色短款长袖上衣,女款,百搭长袖Polo衫,短款修身版型,棉质面料,白色,翻领，长袖，短款修身版型，带小装饰标,领口标识装饰,衬衫式穿脱，通过纽扣开合,https://item.taobao.com/item.htm?ft=t&id=681996896439&pisk=gVbnxufDIM-QN9kaoY8QY08pOREOseTWUT3JeUpzbdJ194FC9GAPeON7OeCyETX9C638O6IiZs6GE3NBeLJle_SL6rUAO6TWzT2YkrFvES4FKY8yL7kwaQF9TOdqYr8Wz-eka57MoU6HyirZT1PMwQOETTJr7VJ6ZYuPUp-ZQIAXzLWPUd5wgI3eT2ue_FJ6MYREYDoZ_Bdxz2oFU1PMidJyzHWP_5AWQLllq4JczN_ae2b6KdCcVNAHxK5gc4ukRqKe3OJZz-Svtr9VTd0rzKYZxt1G9J0f6e_fnIBL72XcGN6M_tzuIU614TRlQrMJRiBClhXL0V5w5d-2QZkEYIYHKn7ebrF1T3SGSeQUFm1Osp-DWGE_p3LhKi9XYlw1E1vdUwxZKRpRD1QejtytSTtlc_dlKy0F3gWSbmoDj4OawNoSVHR6sKCS8R1nF-57w5Vickte1BeYs5mSVHR6sKFgsmMWYCOLH&spm=pc_detail.30350276.202205.4.21cc671dwHYuRW&sku_properties=1627207%3A36890921
p20,灰色高腰半身裙,女款,学院基础款A字裙,高腰A字短裙版型,挺括聚酯纤维,灰色,A字短款，带小装饰标,腰部收褶，侧边小标识,穿脱方便，可调节腰部松紧,https://item.taobao.com/item.htm?id=873807403950&mi_id=00004bLfmkyoH5D6fsYmNbkZB0mZU1Yj7zF9WKP5fu6pHLQ&spm=a21xtw.29978518.0.0&xxc=shop
p21,黑色菱格纹链条单肩包,女款,菱格纹链条包,绗缝菱格包身版型,皮革面料,黑色,菱格纹,金属链条肩带,单肩/斜挎佩戴，通过开合扣使用,https://detail.tmall.com/item.htm?abbucket=8&id=954205199647&mi_id=0000z3I1gj4Cfibel6W2HxZJlMmhgaVZgJPQ4nYZr2n2AlA&ns=1&priceTId=214784e717689945415603819e1193&skuId=5877768916801&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%220573bc4f81f7f7c379b2185cab982322%22%7D&xxc=taobaoSearch
p22,黑色贝雷帽,女款,毛呢贝雷帽,贝雷帽经典版型,毛呢面料,黑色,经典帽型,侧边小标识装饰,直接佩戴，调整造型即可,https://detail.tmall.com/item.htm?abbucket=8&id=839919554770&mi_id=0000-eXZuO5fike0WW40SkgeIPjCooTgilbcomhD6oIfYh8&ns=1&priceTId=214784e717689944045308506e1193&skuId=5774156699545&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%228e0b553f9bd4cf098386d82016aeef25%22%7D&xxc=taobaoSearch
p23,深灰色纯色长袜,女款,简约无装饰长袜,中筒长袜版型,棉质混纺面料,深灰色,中筒长度,纯色无额外装饰,直接穿脱,https://item.taobao.com/item.htm?abbucket=8&id=766874862566&mi_id=0000tDmoVTNYlRgn0iq3T0u7WnWUCUa-znc8GxwCMqbADHQ&ns=1&priceTId=213e0ac317689949711352143e11e7&skuId=5437020086367&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22d25eb6885b43968d569903baa70b21ef%22%7D&xxc=taobaoSearch
p24,黑色厚底乐福鞋,女款,厚底乐福鞋,厚底乐福鞋版型,皮革面料,黑色,系带设计，厚底鞋型,厚底设计,直接穿脱,https://detail.tmall.com/item.htm?abbucket=8&id=608932009629&mi_id=0000kFeJfF3TwTTxKzVMKiS0a-2lBDPvJbv1oeqdDbFrYLw&ns=1&priceTId=213e09ae17689952651917125e120d&skuId=5209000439912&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%2266f82306b03dfd65786497f7266e45f3%22%7D&xxc=taobaoSearch
p25,米色收腰长款风衣,女款,通勤法式风衣,收腰长款版型,棉质混纺风衣面料,米色,翻领，收腰系带，多口袋，长款版型,腰带收腰，双排扣设计,直接穿脱，通过腰带调节版型,https://item.taobao.com/item.htm?id=988375035524&mi_id=0000-zJN746PCdztxy4su-Zu6CDhJ3EMBM_pLLOvpoWAPVU&spm=a21xtw.29178619.0.0&xxc=shop
p26,格纹长袖衬衫,女款,复古格纹衬衫,宽松长袖版型,棉质面料,米色、棕色,格纹，翻领，长袖基础版型,格纹图案装饰,衬衫式穿脱，通过纽扣开合,https://item.taobao.com/item.htm?id=988386899396&pisk=gArxYasdM_f0ijs59nblsJv_Xx6lDa24eSyBjfcD57F8iJamoRGiX5FT6j01gmqTwS2Qoq2_jAZt0u4DjjfqXRNnX6fhxM243mo1t6qauvUZAxLXlCcjPLiiB0YIEUw43cl65zyfy-STanHR5cNsVbMiHcTj1q6-PADsfng6cUOSaAisfjisF0MnKhtXcA6RVxkXcCM6fgsSCxLsfcNsPLGrCcMb1c68Fbksa01tNKGMXrbJmrgpjVt6fuHxPa2jNSVVIxgY9-hROGrRTqhQhbK1G-9YofhzA_b8UWzbiYPOv_naaPNsB7O5sqy_y7HYi6dZsoy0XYyAlseqVjesWDp1c8nxM2ZYgKK7O8e_-4EldMoxcjai0Rvdi8EYi-r8IdTSDm4-JonCYIGgrJEtBl5N2WeU47H7OGCf4zr3vbvptXHMlTBJ7FujUd7JBW87FyfqeXXAXF8ZzTk-tTBJ7FujUYhhHsLw74WP.&spm=pc_detail.30350276.202205.1.5ddd7ee80BKUBT
p27,米白色贝雷帽,女款,法式文艺贝雷帽,贝雷帽经典版型,毛呢面料,米白色,平顶带檐帽型,纯色无额外装饰,直接佩戴，调整造型即可,https://item.taobao.com/item.htm?abbucket=8&id=982354925273&mi_id=0000Z3AF2iD_1I7qbbSm1dFM88Ic7fqOgKxAkNCdzNQTDl8&ns=1&priceTId=2147884917689954699684503e1210&skuId=6107279195393&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%222cc579f4e15abc01ffa1b5fd343bd011%22%7D&xxc=taobaoSearch
p28,黑白拼色手提包,女款,轻奢质感手提包,方形手提包身版型,皮革面料,黑色、白色,纯色拼色,金属五金装饰,手提/单肩挎戴，通过开合扣使用,https://detail.tmall.com/item.htm?abbucket=8&id=713997971009&mi_id=0000c9RqenkKYJrKEbCOe9CvCx2B1VJFLrXFB7NsiaxM6zk&ns=1&priceTId=2147884917689956713404280e1210&skuId=4997771317056&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%2269769cc6bc51e1a3b2d43a20300d2c16%22%7D&xxc=taobaoSearch
p29,卡其色高跟长靴,女款,复古褶皱长靴,高筒靴版型,皮革面料,卡其色,褶皱设计，高跟长型,高跟设计,通过靴筒侧边拉链穿脱,https://item.taobao.com/item.htm?abbucket=8&id=973217447477&mi_id=0000g_ZRM1VMQeJpyhB3J2b8_YUBFSth2uDO-6MxYtAwBh0&ns=1&priceTId=2147884917689957913005813e1210&skuId=6091924982007&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%2201bf488e252d72fd6d3a1c6ac1c0a18c%22%7D&xxc=taobaoSearch
p30,灰色毛绒无袖马甲,女款,慵懒毛绒马甲,无袖马甲版型,仿羊羔毛毛绒面料,灰色,无袖版型,毛绒质感装饰,套头穿脱,https://item.taobao.com/item.htm?id=989698269052&mi_id=0000apFWJi_uOdAfhItwHnR8BwBDpPixMjZay8xbxYRcaUA&spm=a21xtw.29978518.0.0&xxc=shop&sku_properties=20509%3A84497
p31,格纹长袖衬衫,女款,复古格纹衬衫,宽松长袖版型,棉质面料,米色、棕色,格纹,格纹图案装饰,衬衫式穿脱，通过纽扣开合,https://item.taobao.com/item.htm?id=988386899396&pisk=geNoYS4im8kWgEKVsHl5UpkRpfXvnbGIYkdKvXnF3mobyBQ7y-0Uvo_CPbUExkqxczddPzeD-PZ0xv_SvDo3vyyRk1CTPzGITkjO61H6RWV3qUueTw8q5V_xzo3wU1lITGIn8ZPmsXZo9oRM8r7mJ2gyYkuruIojJLoUY0k20V0sTDrUYERq8VLy4voy0Z0-zHRyT28Vg43BzprETZDqRVhEYkkPoroj8XoEIIAEjWPbgMduZfQm9KForYmaz0z8yS5jFLaomlE_g44D2zmmHxFmrYmZLYlUO7rY87FShtpjOregxJrCBKGu88lrWz1kifzzHW0Y9wpn4rF0u7DWSCDuL2DZTxYeTrczhxVm_1-ml-z8L7Zk-Bu7w5HnfxbeOvh46Ayaqe__ubuUAANdfQiz8PN_BffvUfz0Ll2h4_92QdDDOq7Lgp9IUqgmXyOPczxCby_doZv1FYujyGQcop9IUqgmXZbDCHMrl4IO.&spm=pc_detail.30350276.202205.3.63e07dd6kutw06
p32,米色宽松休闲裤,女款,简约宽松阔腿裤,宽松直筒版型,棉质面料,米色,宽松版型,简约无额外装饰,穿脱方便，可调节腰部松紧,https://item.taobao.com/item.htm?id=990401160223&pisk=g1Ltx4g-BvDilx0IePmnnQvLtJGnXDAw9dR7otXgcpppIQtGjI6ckKpvHOjjQNYvpdAWjGAXosTA7exgoODNkI9lkYDor4Aw_N7jEYfy4B91P1U_5-4XOy_cMwq5tkOw_ZWbcHRsvCuvLY5SfZ9fR91c6ZZ_5sGdAsC5lPsb5kwCLs_flGa_RB1fZow1CZGKR1fblts1fkOCMs41lZ9fRXCVd1_flKOI9slo2xBQ1t4vjDKzUmz5-raXJ1IIxC6IlB8C616J1FEUYj5OXTO1pAiKJCjBgiL4grI213JVNdwsEGRXvpCOk2q1PBKXe68srRCejB9VdQFYzC_9JeKfvfg69NBO26j7wk_9cd8AbhFqaB_6L3WPfDkF9FYlDTSLdAOH9OsJDdDUlOxJOpIk-J4lup-XhspQBglyrUB3w8XRilGK9orVf6PqvSpzABtoQ6Bo6qE40MlF9TcK9orVf65dEfHT0oSET&spm=pc_detail.30350276.202205.4.4ba639019BhMWs
p33,棕色鸭舌帽,女款,复古棕色针织帽,鸭舌帽经典版型,棉质面料,棕色,平顶带檐帽型,简约无额外装饰,直接佩戴，调整松紧即可,https://item.taobao.com/item.htm?abbucket=8&id=975603426662&mi_id=0000N-W48khRhhr9hjPmIXrkWW3CfXKD38jfCni9vhFajZE&ns=1&priceTId=2147884917689958728233755e1210&skuId=6096054975532&spm=a21n57.imgsearch.item.3&utparam=%7B%22aplus_abtest%22%3A%2281ada1696a04e9ce9c98053a8e08abec%22%7D&xxc=taobaoSearch
p34,白色条纹运动鞋,女款,白黑拼色运动鞋,低帮运动鞋版型,帆布皮革拼接面料,白色、黑色,条纹,条纹装饰,通过鞋带穿脱,https://detail.tmall.com/item.htm?abbucket=8&id=871636914197&mi_id=0000oFi6S7PWUzuUdMr8GxzaMx0M3j6b-5JFX7ZX6-2rvaU&ns=1&priceTId=2147884917689959705493110e1210&skuId=5703597956839&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22dffb54c0f294df885f9a0fcd559a7ce9%22%7D&xxc=taobaoSearch
p35,黑色毛领短款外套,女款,复古英伦外套,短款修身版型,毛呢仿毛领面料,黑色,双排扣设计，毛领装饰，短款版型,毛领装饰，双排扣设计,直接穿脱，通过纽扣系合,https://item.taobao.com/item.htm?contentSetId=-1&from=cart&id=855294163491&mi_id=0000Rjl3RbQ1KMNE9axEhuf9YuJ35DqE9c-aoMtbyaU5ADo&singleUseCache=true&skuId=5828653887535&spm=a1z0d.6639537%2F202410.item.d855294163491.6e6c7484hYMJox&upStreamPrice=39500
p36,灰色V领针织毛衣,女款,简约学院风灰色V领毛衣,修身长袖版型,针织面料,灰色,V领基础版型，带小装饰标,V领设计,套头穿脱,https://item.taobao.com/item.htm?ft=t&id=856003956135&pisk=gSUoYiNinuoSP8vVSpu54Hld1oSYe4gILJLKp2HF0xkbweC7wocUp-1CN4FEKJ2xh7LdN7EDt5w0KD1Spvk3pWrRMNQTN7gI8JXOWNCXex67EHkrT68qOffxa-hw4NuI8OBnTszmS2woJRR6TS5m9XGELJlr0SkjtQkULYo23fcs8vyULmRq9XJEa0oUgEkja3-E82kVufhtaUlzLS5mTXgELJoPiSkjT2kEBPYEIyzbu9LuXgQZ4MzxZ0DaaYP8wr7r43NonraYubVmS7RB8ezmZ044oKbCW0EU1ca8OwYjy5qqufF5rE0aaf2-HR7woqPYgJn_c9Tty-4njrnyTOkZxYq4zmAe8SPjLDq3ETxSUuemfjo2tNGYBxP7zofB37ytE4lqDN5ggDrYPcaR3U0af738YJs9c4VU4qjyNn-wjmYIg6U2AHirGjDTOUWbZp6aO6CcihsS4jGRBsfDAHirGjDOisx6d0ljwOC..&spm=pc_detail.30350276.202205.1.3d4438d2gn3E3J
p37,深蓝色长袖衬衫,女款,复古通勤风藏青格纹长袖衬衫,修身长袖版型,棉质面料,深蓝色,格纹，翻领，长袖基础版型,简约无额外装饰,衬衫式穿脱，通过纽扣开合,https://item.taobao.com/item.htm?ft=t&id=856003956135&pisk=gSUoYiNinuoSP8vVSpu54Hld1oSYe4gILJLKp2HF0xkbweC7wocUp-1CN4FEKJ2xh7LdN7EDt5w0KD1Spvk3pWrRMNQTN7gI8JXOWNCXex67EHkrT68qOffxa-hw4NuI8OBnTszmS2woJRR6TS5m9XGELJlr0SkjtQkULYo23fcs8vyULmRq9XJEa0oUgEkja3-E82kVufhtaUlzLS5mTXgELJoPiSkjT2kEBPYEIyzbu9LuXgQZ4MzxZ0DaaYP8wr7r43NonraYubVmS7RB8ezmZ044oKbCW0EU1ca8OwYjy5qqufF5rE0aaf2-HR7woqPYgJn_c9Tty-4njrnyTOkZxYq4zmAe8SPjLDq3ETxSUuemfjo2tNGYBxP7zofB37ytE4lqDN5ggDrYPcaR3U0af738YJs9c4VU4qjyNn-wjmYIg6U2AHirGjDTOUWbZp6aO6CcihsS4jGRBsfDAHirGjDOisx6d0ljwOC..&spm=pc_detail.30350276.202205.1.3d4438d2gn3E3J
p38,黑色宽松阔腿裤,女款,简约干练风黑色阔腿裤,宽松阔腿版型,垂坠聚酯纤维,黑色,宽松版型,简约无额外装饰,穿脱方便，可调节腰部松紧,https://item.taobao.com/item.htm?ft=t&id=855347551749&pisk=gPTtY80-BvDgbfgIePmnnQAjIllnWDAw9dR7otXgcpppIQtGjI6ckKpvHOjjQNYvpdAWjGAXosTA7exgoODNkI9lkYDor4Aw_N7jEY0ppDbVP_2_1-46OB_cMwq5tkOw_ZWbcHRsvCuvLAFxcZ9fR91c6Zab5PGdR_11lPsb5kwCLs_flOa1dW1GgRwfGGGLO_f85ra11y_CN_N1lZ9fRJ6FGZ16hZGpO95jBlDAd560khmpSjRYU-U4ueCOXtUcprLe8zjGFjWQurWOCGEM19UbleKAd81NC0Ph3NXws1pqzP71D3RcMd3T5Kdy8pCBFqUlCBRkqG8szoSR59Sv5CHtkBLABgT1vShyNw1XhiKEezfOSHIJWhl4dC9lB3_wi7HM9gKd46sQMl_MqQYVVFgTU9jPMdXHF4adRisraUYRK7elesqs9XE40G1UgDFvUkOBqA5dEf3Y0oSET6Bo9XE40G1F9TctBorVYX5..&spm=pc_detail.30350276.202205.3.32c02d1ezJQfRp
p39,棕色手提单肩包,女款,轻奢复古风棕色麂皮手提包,圆形包身版型,皮革面料,棕色,手提肩带设计，带金属装饰扣,金属五金装饰,手提/单肩挎戴，通过开合扣使用,https://item.taobao.com/item.htm?abbucket=8&id=823347358427&mi_id=00004Q4MkEHBxT1vEWQq-kN-VQlwbVQuSWvS3r4kz22anow&ns=1&priceTId=2147884917689961796901419e1210&skuId=5837199855733&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22d1224a15e40691344c2af038bd6c9a65%22%7D&xxc=taobaoSearch
p40,棕色系带休闲鞋,女款,休闲潮酷风棕色调拼色运动鞋,低帮休闲鞋版型,皮革面料,棕色,鞋身带装饰细节,系带设计,通过鞋带穿脱,https://detail.tmall.com/item.htm?abbucket=8&id=978157193877&mi_id=00004IsR2_6DUyHKIxjADh0utR_u8xkV3xWrMN20DACgAnE&ns=1&priceTId=2147884917689963484054427e1210&skuId=5933578317145&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%222177054205fcf8d2321545d04f70fbf2%22%7D&xxc=taobaoSearch
p41,米色毛领短款外套,女款,复古优雅风卡其毛领双排扣短外套,短款修身版型,毛呢仿毛领面料,米色,翻领，扣合设计，短款版型,毛领装饰+双排扣设计,直接穿脱，通过纽扣系合,https://item.taobao.com/item.htm?contentSetId=-1&from=cart&id=855294163491&mi_id=0000Rjl3RbQ1KMNE9axEhuf9YuJ35DqE9c-aoMtbyaU5ADo&singleUseCache=true&skuId=5828653887535&spm=a1z0d.6639537%2F202410.item.d855294163491.6e6c7484hYMJox&upStreamPrice=39500
p42,灰色高领针织毛衣,女款,简约基础风灰色高领针织打底衫,修身长袖版型,针织面料,灰色,高领长袖,高领设计,套头穿脱,https://item.taobao.com/item.htm?id=736903782293&mi_id=0000L-T64DjOuxVgpJ98fdIEapeqirPtXWNuoexx160uoO0&spm=a21xtw.29978518.0.0&xxc=shop
p43,米色高腰半身裙,女款,温柔慵懒风浅米色长款半身裙,高腰A字长裙版型,棉质面料,米色,长款版型,简约无额外装饰,穿脱方便，可调节腰部松紧,https://item.taobao.com/item.htm?ft=t&id=855347551749&pisk=gPTtY80-BvDgbfgIePmnnQAjIllnWDAw9dR7otXgcpppIQtGjI6ckKpvHOjjQNYvpdAWjGAXosTA7exgoODNkI9lkYDor4Aw_N7jEY0ppDbVP_2_1-46OB_cMwq5tkOw_ZWbcHRsvCuvLAFxcZ9fR91c6Zab5PGdR_11lPsb5kwCLs_flOa1dW1GgRwfGGGLO_f85ra11y_CN_N1lZ9fRJ6FGZ16hZGpO95jBlDAd560khmpSjRYU-U4ueCOXtUcprLe8zjGFjWQurWOCGEM19UbleKAd81NC0Ph3NXws1pqzP71D3RcMd3T5Kdy8pCBFqUlCBRkqG8szoSR59Sv5CHtkBLABgT1vShyNw1XhiKEezfOSHIJWhl4dC9lB3_wi7HM9gKd46sQMl_MqQYVVFgTU9jPMdXHF4adRisraUYRK7elesqs9XE40G1UgDFvUkOBqA5dEf3Y0oSET6Bo9XE40G1F9TctBorVYX5..&spm=pc_detail.30350276.202205.3.32c02d1ezJQfRp
