itemID,category,title,gender,style,outline,materials,color,pattern,detail,donning/doffing
p25,outerwear,beige belted long trench coat,Women's,French-style commuter trench coat,cinched-waist long fit,cotton-blend trench coat fabric,beige,"collared, belted waist, multi-pocket, long fit","belted waist, double-breasted","Pull-on, adjustable belt"
p26,inner_top,plaid long-sleeve shirt,Women's,vintage plaid shirt,loose long-sleeve fit,cotton fabric,"beige, brown","plaid, collared, long-sleeve basic fit",plaid pattern,"Shirt-style, button closure"
p27,accessory,off-white beret,Women's,French-style artistic beret,classic beret fit,wool-blend fabric,off-white,flat-top brimmed hat,"solid color, no extra embellishment","Direct wear, adjustable styling"
p28,bag,black and white colorblock handbag,Women's,premium texture handbag,square handbag silhouette,leather fabric,"black, white","solid color, color-blocked",metal hardware,"Handheld/single shoulder carry, snap closure"
p29,shoes,khaki high-heeled boots,Women's,vintage pleated boots,knee-high boot fit,leather fabric,khaki,"pleated design, high-heeled, tall boot",high heel,Side zipper closure
p30,mid_layer_top,gray faux fur sleeveless vest,Women's,relaxed plush vest,sleeveless vest fit,faux sherpa fabric,gray,sleeveless,faux fur trim,Pullover
p31,inner_top,plaid long-sleeve shirt,Women's,vintage plaid shirt,loose long-sleeve fit,cotton fabric,"beige, brown",plaid,plaid pattern,"Shirt-style, button closure"
p32,bottom,beige loose-fit casual trousers,Women's,minimalist loose wide-leg trousers,loose straight-leg fit,cotton fabric,beige,loose fit,"minimalist, no extra embellishment","Easy to wear, adjustable waist"
p33,accessory,brown baseball cap,Women's,vintage brown knit hat,classic baseball cap fit,cotton fabric,brown,flat-top brimmed hat,"minimalist, no extra embellishment","Direct wear, adjustable fit"
p34,shoes,white striped sneakers,Women's,white and black color-block sneakers,low-top sneaker fit,canvas and leather patchwork,"white, black",striped,striped pattern,Lace-up closure
p35,outerwear,black faux fur collar cropped jacket,Women's,vintage British-style jacket,cropped slim fit,wool-blend with faux fur collar,black,"double-breasted, faux fur collar, cropped fit","fur collar, double-breasted","Pull-on style, button closure"
p36,mid_layer_top,gray V-neck knit sweater,Women's,minimalist preppy gray V-neck sweater,slim long-sleeve fit,knit fabric,gray,"V-neck basic fit, with small decorative logo",V-neck,Pullover
p37,inner_top,dark blue long-sleeve shirt,Women's,vintage commuter navy plaid long-sleeve shirt,slim long-sleeve fit,cotton fabric,navy blue,"plaid, collared, long-sleeve basic fit","minimalist, no extra embellishment","Shirt-style, button closure"
p38,bottom,black loose-fit wide-leg trousers,Women's,minimalist professional black wide-leg trousers,loose wide-leg fit,drapey polyester,black,loose fit,"minimalist, no extra embellishment","Easy to wear, adjustable waist"
p39,bag,brown top-handle shoulder bag,Women's,premium vintage brown suede handbag,round bag silhouette,leather fabric,brown,"top-handle strap, with metal decorative buckle",metal hardware,"Handheld/single shoulder carry, snap closure"
p40,shoes,brown lace-up casual shoes,Women's,casual trendy brown color-block sneakers,low-top casual shoe fit,leather fabric,brown,decorative details on shoe body,lace-up,Lace-up closure
p41,outerwear,beige faux fur collar cropped jacket,Women's,vintage elegant khaki faux fur collar double-breasted short coat,cropped slim fit,wool-blend with faux fur collar,beige,"collared, button closure, cropped fit","fur collar, double-breasted","Pull-on style, button closure"
p42,mid_layer_top,gray turtleneck knit sweater,Women's,minimalist basic gray turtleneck knit base layer,slim long-sleeve fit,knit fabric,gray,"mock neck, long-sleeve",high neck,Pullover
p43,bottom,beige high-waisted skirt,Women's,gentle relaxed light beige maxi skirt,high-waisted A-line maxi skirt fit,cotton fabric,beige,long fit,"minimalist, no extra embellishment","Easy to wear, adjustable waist"
p44,bag,beige handbag,Women's,elegant commuter light brown leather handbag,square handbag silhouette,leather fabric,beige,"top-handle strap, with metal decorative buckle",metal hardware,"Handheld/single shoulder carry, snap closure"
p45,shoes,black platform loafers,Women's,vintage preppy black platform lace-up shoes,platform loafer fit,leather fabric,black,low-top,platform sole,Pull-on
p46,outerwear,brown long wool coat,Women's,vintage elegant brown double-breasted coat,loose long fit,wool-blend fabric,brown,"collared, single-breasted, long fit",button closure,"Pull-on style, button closure"
p47,inner_top,white zip-up long-sleeve top,Women's,minimalist casual white half-zip sweater,cropped slim fit,cotton fabric,white,"half-zip, long-sleeve","zipper closure, collar logo",Zipper closure
p48,inner_top,light blue long-sleeve shirt,Women's,fresh commuter light blue striped long-sleeve shirt,slim long-sleeve fit,cotton fabric,light blue,"collared, long-sleeve","minimalist, no extra embellishment","Shirt-style, button closure"
p49,bottom,blue high-waisted jeans,Women's,vintage casual light blue flared jeans,high-waisted bootcut fit,denim fabric,blue,wide-leg,denim texture,"Easy to wear, adjustable waist"
p50,bag,black quilted chain shoulder bag,Women's,premium vintage black quilted chain bag,quilted diamond-pattern bag silhouette,leather fabric,black,diamond pattern,"metal chain shoulder strap, brand logo","Single shoulder/crossbody carry, snap closure"
p51,shoes,black platform loafers,Women's,vintage preppy black platform lace-up shoes,platform loafer fit,faux leather fabric,black,"platform, lace-up",platform sole,Pull-on
p52,outerwear,brown long wool coat,Women's,vintage elegant brown double-breasted long coat,loose long fit,wool-blend fabric,brown,collared single-breasted,button closure,"Pull-on style, button closure"
p53,outerwear,gray knit cardigan vest,Women's,minimalist preppy grey V-neck knit vest,sleeveless vest fit,knit fabric,gray,V-neck button design,button design,"Cardigan style, adjustable button closure"
p54,inner_top,white turtleneck base layer,Women's,minimalist basic white turtleneck knit base layer,slim long-sleeve fit,knit fabric,white,"mock neck, long-sleeve",high neck,Pullover
p55,bottom,black and gray plaid skirt,Women's,vintage preppy black and white plaid skirt,high-waisted A-line skirt fit,polyester,blackish gray,"plaid pattern, cropped",plaid pattern,"Easy to wear, adjustable waist"
p56,accessory,white mid-calf socks,Women's,minimalist basic white mid-calf socks,mid-calf sock fit,cotton-blend fabric,white,mid-calf length,no extra embellishment,Pull-on
p57,shoes,black metal logo loafers,Women's,vintage preppy black platform loafers,classic loafer fit,faux leather fabric,black,low-top,metal logo plaque on toe,Pull-on
p58,outerwear,black long wool coat,Women's,vintage commuter black double-breasted long coat,loose long fit,wool-blend fabric,black,collared single-breasted,button closure,"Pull-on style, button closure"
p59,outerwear,khaki knit cardigan,Women's,soft minimalist light brown knit cardigan,slim cropped fit,knit fabric,khaki,V-neck button design,button design,"Cardigan style, adjustable button closure"
p60,inner_top,white turtleneck base layer,Women's,minimalist basic white turtleneck knit base layer,slim long-sleeve fit,knit fabric,white,"mock neck, long-sleeve",high neck,Pullover
p61,bottom,khaki high-waisted maxi skirt,Women's,commuter minimalist khaki midi skirt,high-waisted A-line maxi skirt fit,cotton fabric,khaki,long fit,no extra embellishment,"Easy to wear, adjustable waist"
p62,bag,black crescent shoulder bag,Women's,light luxury vintage dark purple shoulder handbag,crescent bag silhouette,faux leather fabric,black,single shoulder strap design,single shoulder strap,"Single shoulder carry, snap closure"
p63,accessory,white mid-calf socks,Women's,minimalist basic white mid-calf socks,mid-calf sock fit,cotton-blend fabric,white,mid-calf length,no extra embellishment,Pull-on
p64,shoes,black metal logo loafers,Women's,vintage preppy black platform loafers,classic loafer fit,faux leather fabric,black,low-top,metal logo plaque on toe,Pull-on
p65,outerwear,black cropped down jacket,Women's,minimalist warm black long down jacket,cropped slim fit,down-filled fabric,black,hooded longline,zipper and snap button closure,Zipper closure
p66,mid_layer_top,gray V-neck knit sweater,Women's,relaxed minimalist grey deep V-neck knit top,slim long-sleeve fit,knit fabric,gray,V-neck long sleeve,V-neck,Pullover
p67,inner_top,white camisole,Women's,minimalist slim-fit white halter tank top,slim sleeveless fit,cotton fabric,white,halter sleeveless,spaghetti strap,Pullover
p68,bottom,gray loose wide-leg trousers,Women's,casual relaxed grey wide-leg casual trousers,loose wide-leg fit,polyester,gray,loose fit,no extra embellishment,"Easy to wear, adjustable waist"
p69,accessory,beige logo baseball cap,Women's,trendy casual beige letter baseball cap,classic baseball cap fit,cotton fabric,beige,"baseball cap style, letter embellishment",lettering logo,"Direct wear, adjustable fit"
p70,bag,black crescent shoulder bag,Women's,light luxury minimalist black leather shoulder bag,crescent bag silhouette,faux leather fabric,black,single shoulder strap design,single shoulder strap,"Single shoulder carry, snap closure"
p71,shoes,brown loafers,Women's,vintage casual brown suede mules,classic loafer fit,faux leather fabric,brown,"slip-on, low-cut",no extra embellishment,Pull-on
p72,outerwear,white cropped hooded down jacket,Women's,minimalist warm off-white long down jacket,cropped hooded fit,down-filled fabric,white,hooded longline,zipper and snap button closure,Zipper closure
p73,outerwear,gray knit cardigan vest,Women's,minimalist basic grey V-neck knit cardigan,sleeveless vest fit,knit fabric,gray,V-neck button design,button design,"Cardigan style, adjustable button closure"
p74,inner_top,light blue long-sleeve shirt,Women's,fresh casual light blue striped cropped shirt,slim long-sleeve fit,cotton fabric,light blue,"collared long sleeve, cropped",button closure,"Shirt-style, button closure"
p75,bottom,brown high-waisted mini skirt,Women's,commuter minimalist khaki mini skirt,high-waisted A-line mini skirt fit,polyester,brown,cropped fit,no extra embellishment,"Easy to wear, adjustable waist"
p76,bag,brown crescent shoulder bag,Women's,light luxury vintage brown leather shoulder bag,crescent bag silhouette,faux leather fabric,brown,single shoulder strap design,single shoulder strap,"Single shoulder carry, snap closure"
p77,accessory,white knee-high socks,Women's,minimalist basic white knit gloves,over-the-knee sock fit,cotton-blend fabric,white,"mid-calf length, textured",no extra embellishment,Pull-on
p78,shoes,brown faux fur mules,Women's,vintage casual brown suede flats,mule fit,plush fabric,brown,"platform, slip-on",slip-on,Pull-on
p79,outerwear,white long hooded down jacket,Women's,minimalist warm white long down jacket,long hooded fit,down-filled fabric,white,hooded cropped,zipper and snap button closure,Zipper closure
p80,inner_top,pink turtleneck base layer,Women's,soft minimalist pink knit cardigan,slim long-sleeve fit,knit fabric,pink,"mock neck, long-sleeve",high neck,Pullover
p81,bottom,beige loose maxi skirt,Women's,commuter relaxed light beige maxi skirt,loose long fit,cotton fabric,beige,long fit,no extra embellishment,"Easy to wear, adjustable waist"
p82,bag,white square handbag,Women's,minimalist light luxury white leather handbag,square bag silhouette,faux leather fabric,white,square bag,top handle,"Handheld/single shoulder carry, snap closure"
p83,shoes,brown faux fur mules,Women's,vintage casual brown leather flats,mule fit,plush fabric,brown,low-top,slip-on,Pull-on
p84,outerwear,white long hooded down jacket,Women's,minimalist warm white cropped down jacket,long hooded fit,down-filled fabric,white,hooded cropped,snap button closure,Zipper closure
p85,inner_top,gray slim-fit long-sleeve top,Women's,relaxed minimalist grey deep V-neck knit top,slim long-sleeve fit,knit fabric,gray,long sleeve basic fit,no extra embellishment,Pullover
p86,bottom,black high-waisted maxi skirt,Women's,commuter minimalist black wide-leg trousers,high-waisted long fit,polyester,black,long fit,no extra embellishment,"Easy to wear, adjustable waist"
p87,bag,black crescent shoulder bag,Women's,light luxury minimalist black leather shoulder bag,crescent bag silhouette,faux leather fabric,black,single shoulder strap design,single shoulder strap,"Single shoulder carry, snap closure"
p88,shoes,black metal logo loafers,Women's,vintage preppy black platform loafers,classic loafer fit,faux leather fabric,black,low-top,metal logo plaque on toe,Pull-on
p89,outerwear,light gray faux fur cropped jacket,Women's,soft minimalist beige knit cardigan,cropped slim fit,plush fabric,light gray,long sleeve,zipper closure,Zipper closure
p90,inner_top,gray slim-fit long-sleeve top,Women's,minimalist basic grey knit sweater,slim long-sleeve fit,knit fabric,gray,mock neck long sleeve basic fit,no extra embellishment,Pullover
p91,bottom,black loose-fit wide-leg trousers,Women's,casual relaxed black wide-leg casual trousers,loose wide-leg fit,polyester,black,loose fit,no extra embellishment,"Easy to wear, adjustable waist"
p92,accessory,gray fringe scarf,Women's,minimalist warm grey knit scarf,long scarf fit,knit fabric,gray,fringe trim,tassel trim,Direct wear
p93,bag,black square handbag,Women's,light luxury vintage black leather handbag,square bag silhouette,faux leather fabric,black,square bag,top handle,"Handheld/single shoulder carry, snap closure"
p94,shoes,black platform combat boots,Women's,vintage commuter black leather flats,platform combat boot fit,faux leather fabric,black,low-top,lace-up,Lace-up closure
p95,outerwear,beige faux fur cropped jacket,Women's,soft minimalist beige knit cardigan,cropped slim fit,plush fabric,beige,cropped,zipper closure,Zipper closure
p96,inner_top,white turtleneck base layer,Women's,minimalist basic white turtleneck knit top,slim long-sleeve fit,knit fabric,white,"mock neck, long-sleeve",high neck,Pullover
p97,bottom,brown loose wide-leg trousers,Women's,commuter minimalist brown maxi skirt,loose wide-leg fit,polyester,brown,loose fit,no extra embellishment,"Easy to wear, adjustable waist"
p98,accessory,brown knit scarf,Women's,vintage warm brown plaid scarf,long scarf fit,knit fabric,brown,wrap design,no extra embellishment,Direct wear
p99,bag,brown square handbag,Women's,light luxury vintage brown leather handbag,square bag silhouette,faux leather fabric,brown,square bag,top handle,"Handheld/single shoulder carry, snap closure"
p100,shoes,black platform combat boots,Women's,vintage preppy black lace-up leather shoes,platform combat boot fit,faux leather fabric,black,low-top,lace-up,Lace-up closure
p101,outerwear,beige faux fur cropped jacket,Women's,soft commuter beige cropped jacket,cropped slim fit,plush fabric,beige,cropped fit,zipper closure,Zipper closure
p102,accessory,gray lace-up detail knit scarf,Women's,minimalist preppy gray knit vest,long scarf fit,knit fabric,gray,mock neck lace-up design,lace-up detail,Direct wear
p103,bottom,beige loose wide-leg trousers,Women's,commuter minimalist beige wide-leg trousers,loose wide-leg fit,cotton fabric,beige,loose fit,no extra embellishment,"Easy to wear, adjustable waist"
p104,accessory,off-white beret,Women's,French artistic white beret,classic beret fit,wool-blend fabric,off-white,flat-top brimmed hat,no extra embellishment,"Direct wear, adjustable styling"
p105,bag,brown crescent shoulder bag,Women's,vintage luxe brown leather shoulder bag,crescent bag silhouette,faux leather fabric,brown,single shoulder strap design,single shoulder strap,"Single shoulder carry, snap closure"
p106,shoes,black pointed-toe flats,Women's,vintage commuter black leather flats,pointed-toe flat fit,faux leather fabric,black,low-top,slip-on,Pull-on
p107,outerwear,dark gray faux fur cropped jacket,Women's,minimalist commuter black cropped jacket,cropped slim fit,plush fabric,dark gray,collared cropped,zipper closure,Zipper closure
p108,onepiece,black slim-fit suit set,Women's,commuter professional gray suit set,slim suit fit,polyester,black,slim fit,button and zipper closure,Pullover
p109,bag,black square handbag,Women's,luxe minimalist black leather handbag,square bag silhouette,faux leather fabric,black,square bag,top handle,"Handheld/single shoulder carry, snap closure"
p110,shoes,dark blue lace-up leather shoes,Women's,trendy casual black color-block sneakers,lace-up leather shoe fit,leather fabric,navy blue,low-top,lace-up,Lace-up closure
p111,outerwear,beige belted long trench coat,Women's,soft minimalist beige knit cardigan,cinched-waist long fit,cotton-blend trench coat fabric,beige,collared lace-up design,"belted waist, double-breasted","Pull-on, adjustable belt"
p112,outerwear,beige V-neck knit cardigan,Women's,minimalist basic beige knit vest,slim cropped fit,knit fabric,beige,V-neck long sleeve,button design,"Cardigan style, adjustable button closure"
p113,inner_top,white camisole,Women's,minimalist slim-fit white halter tank top,slim sleeveless fit,cotton fabric,white,halter sleeveless,spaghetti strap,Pullover
p114,bottom,beige loose wide-leg trousers,Women's,casual relaxed beige wide-leg trousers,loose wide-leg fit,cotton fabric,beige,loose fit,no extra embellishment,"Easy to wear, adjustable waist"
p115,accessory,white faux fur scarf,Women's,minimalist warm white plush hat,long scarf fit,plush fabric,white,wrap design,no extra embellishment,Direct wear
p116,bag,white crescent shoulder bag,Women's,minimalist luxe light beige leather shoulder bag,crescent bag silhouette,faux leather fabric,white,single shoulder strap design,single shoulder strap,"Single shoulder carry, snap closure"
p117,shoes,brown loafers,Women's,vintage casual brown leather flats,classic loafer fit,faux leather fabric,brown,low-top,no extra embellishment,Pull-on
p118,outerwear,black long wool coat,Women's,minimalist commuter black long coat,loose long fit,wool-blend fabric,black,collared cropped,button closure,"Pull-on style, button closure"
p119,outerwear,gray V-neck knit cardigan,Women's,relaxed minimalist gray V-neck knit sweater,slim cropped fit,knit fabric,gray,V-neck long sleeve fit,button design,"Cardigan style, adjustable button closure"
p120,inner_top,white camisole,Women's,minimalist slim-fit white halter tank top,slim sleeveless fit,cotton fabric,white,halter sleeveless,spaghetti strap,Pullover
p121,bottom,gray loose wide-leg trousers,Women's,casual relaxed grey wide-leg casual trousers,loose wide-leg fit,polyester,gray,loose fit,no extra embellishment,"Easy to wear, adjustable waist"
p122,accessory,black logo baseball cap,Women's,trendy casual black baseball cap,classic baseball cap fit,cotton fabric,black,baseball cap style,lettering logo,"Direct wear, adjustable fit"
p123,bag,black square handbag,Women's,light luxury vintage black leather handbag,square bag silhouette,faux leather fabric,black,square bag,top handle,"Handheld/single shoulder carry, snap closure"
p124,shoes,brown loafers,Women's,vintage casual brown suede flats,classic loafer fit,faux leather fabric,brown,low-top,no extra embellishment,Pull-on
p125,outerwear,brown faux fur collar cropped jacket,Women's,vintage elegant brown faux fur collar coat,cropped slim fit,wool-blend fabric,brown,"collared, faux fur collar trim",button closure,"Pull-on style, button closure"
p126,inner_top,white turtleneck base layer,Women's,minimalist basic white turtleneck knit top,slim long-sleeve fit,knit fabric,white,"mock neck, long-sleeve",high neck,Pullover
p127,bottom,brown high-waisted maxi skirt,Women's,commuter minimalist beige wide-leg trousers,high-waisted A-line maxi skirt fit,polyester,brown,long fit,no extra embellishment,"Easy to wear, adjustable waist"
p128,accessory,beige fringe scarf,Women's,minimalist warm white knit scarf,long scarf fit,knit fabric,beige,fringe trim,tassel trim,Direct wear
p129,bag,white crescent shoulder bag,Women's,minimalist luxe light beige leather shoulder bag,crescent bag silhouette,faux leather fabric,white,single shoulder strap design,single shoulder strap,"Single shoulder carry, snap closure"
p130,shoes,brown mules,Women's,vintage casual brown leather flats,mule fit,faux leather fabric,brown,low-top slip-on,slip-on,Pull-on
p131,outerwear,white faux fur collar cropped jacket,Women's,soft commuter beige faux fur collar coat,cropped slim fit,wool-blend fabric,white,"collared, faux fur collar trim, cropped fit",button closure,"Pull-on style, button closure"
p132,outerwear,light blue knit cardigan,Women's,fresh minimalist light blue knit sweater,slim cropped fit,knit fabric,light blue,long sleeve basic fit,button design,"Cardigan style, adjustable button closure"
p133,inner_top,white long-sleeve shirt,Women's,minimalist commuter white long-sleeve shirt,slim long-sleeve fit,cotton fabric,white,collared cropped,button closure,"Shirt-style, button closure"
p134,bottom,black loose-fit wide-leg trousers,Women's,commuter minimalist black wide-leg trousers,loose wide-leg fit,polyester,black,loose fit,no extra embellishment,"Easy to wear, adjustable waist"
p135,bag,white crescent shoulder bag,Women's,minimalist luxe light beige leather shoulder bag,crescent bag silhouette,faux leather fabric,white,single shoulder strap design,single shoulder strap,"Single shoulder carry, snap closure"
p136,shoes,brown lace-up casual shoes,Women's,vintage casual brown color-block casual shoes,low-top casual shoe fit,faux leather fabric,brown,decorative details on shoe body,lace-up,Lace-up closure
p137,outerwear,black cropped jacket,Women's,cool biker black cropped leather jacket,cropped slim fit,faux leather fabric,black,"collared, multi-button design, cropped fit",zipper closure,Zipper closure
p138,inner_top,gray camisole,Women's,minimalist basic white slim-fit tank top,slim sleeveless fit,knit fabric,gray,halter sleeveless,spaghetti strap,Pullover
p139,bottom,blue high-waisted jeans,Women's,commuter minimalist black long wide-leg trousers,high-waisted bootcut fit,denim fabric,blue,wide-leg,denim texture,"Easy to wear, adjustable waist"
p140,bag,brown square handbag,Women's,light luxury vintage brown leather handbag,square bag silhouette,faux leather fabric,brown,square bag,top handle,"Handheld/single shoulder carry, snap closure"
p141,shoes,black ankle boots,Women's,cool commuter black ankle boots,ankle boot fit,faux leather fabric,black,ankle boot style,zipper closure,Side zipper closure
p142,outerwear,beige cropped blazer,Women's,soft warm beige plush cropped jacket,cropped slim fit,polyester,beige,collared cropped,button closure,"Cardigan style, adjustable button closure"
p143,inner_top,white camisole,Women's,minimalist slim-fit white halter tank top,slim sleeveless fit,cotton fabric,white,halter sleeveless,spaghetti strap,Pullover
p144,bottom,black high-waisted skirt,Women's,vintage preppy black pleated mini skirt,high-waisted A-line skirt fit,polyester,black,cropped fit,no extra embellishment,"Easy to wear, adjustable waist"
p145,shoes,black ankle boots,Women's,cool commuter black knee-high boots,ankle boot fit,faux leather fabric,black,knee-high boot style,zipper closure,Side zipper closure
p146,outerwear,black longline blazer,Women's,commuter minimalist black cropped jacket,loose long fit,polyester,black,collared single-breasted,button closure,"Pull-on style, button closure"
p147,outerwear,black cropped jacket,Women's,minimalist basic gray knit cardigan,cropped slim fit,faux leather fabric,black,collared multi-button design,zipper closure,Zipper closure
p148,bottom,black mini skirt,Women's,commuter minimalist black mini skirt,high-waisted mini skirt fit,polyester,black,cropped fit,no extra embellishment,"Easy to wear, adjustable waist"
p149,bag,black quilted shoulder bag,Women's,luxe minimalist black leather handbag,quilted diamond-pattern bag silhouette,faux leather fabric,black,diamond pattern,metal chain shoulder strap,"Single shoulder/crossbody carry, snap closure"
p150,accessory,gray mid-calf socks,Women's,minimalist basic gray mid-calf socks,mid-calf sock fit,cotton-blend fabric,gray,mid-calf length,no extra embellishment,Pull-on
p151,shoes,black platform loafers,Women's,vintage preppy black lace-up leather shoes,platform loafer fit,faux leather fabric,black,platform style,platform sole,Pull-on (slip-on style)
p152,outerwear,gray longline blazer,Women's,commuter minimalist gray cropped jacket,loose long fit,polyester,gray,collared single-breasted,button closure,"Pull-on style, button closure"
p153,outerwear,black cropped blazer,Women's,minimalist basic black knit cardigan,cropped slim fit,polyester,black,collared colorblock design,button closure,"Cardigan style, adjustable button closure"
p154,bottom,black loose-fit wide-leg trousers,Women's,commuter minimalist black wide-leg trousers,loose wide-leg fit,polyester,black,loose fit,no extra embellishment,"Easy to wear, adjustable waist"
p155,bag,black crescent shoulder bag,Women's,luxe minimalist black shoulder bag,crescent bag silhouette,faux leather fabric,black,single shoulder strap design,single shoulder strap,"Single shoulder carry, snap closure"
p156,shoes,black platform loafers,Women's,vintage preppy black platform leather shoes,platform loafer fit,faux leather fabric,black,platform style,platform sole,Pull-on (slip-on style)
p157,outerwear,white cropped puffer jacket,Women's,soft warm white plush coat,cropped slim fit,down-filled fabric,white,collared cropped,snap button closure,Zipper closure
p158,inner_top,white camisole,Women's,minimalist basic white slim-fit tank top,slim sleeveless fit,cotton fabric,white,halter sleeveless,spaghetti strap,Pullover
p159,bottom,beige loose wide-leg trousers,Women's,commuter relaxed beige wide-leg trousers,loose wide-leg fit,cotton fabric,beige,loose fit,no extra embellishment,"Easy to wear, adjustable waist"
p160,bag,white crescent shoulder bag,Women's,minimalist luxury light beige shoulder bag,crescent bag silhouette,faux leather fabric,white,single shoulder strap design,single shoulder strap,"Single shoulder carry, snap closure"
p161,shoes,brown faux fur mules,Women's,vintage casual brown casual shoes,mule fit,plush fabric,brown,platform slip-on,slip-on,Pull-on
p162,outerwear,black cropped jacket,Women's,cool commuter black cropped jacket,cropped slim fit,faux leather fabric,black,cropped fit,zipper closure,Zipper closure
p163,outerwear,gray V-neck knit cardigan,Women's,laid-back minimalist gray knit sweater,slim cropped fit,knit fabric,gray,V-neck long sleeve,button design,"Cardigan style, adjustable button closure"
p164,inner_top,white camisole,Women's,minimalist basic white slim-fit tank top,slim sleeveless fit,cotton fabric,white,halter sleeveless,spaghetti strap,Pullover
p165,bottom,gray high-waisted maxi skirt,Women's,commuter minimalist black maxi skirt,high-waisted A-line maxi skirt fit,polyester,gray,long fit,no extra embellishment,"Easy to wear, adjustable waist"
p166,bag,black crescent shoulder bag,Women's,luxe minimalist black shoulder bag,crescent bag silhouette,faux leather fabric,black,single shoulder strap design,single shoulder strap,"Single shoulder carry, snap closure"
p167,shoes,black sneakers,Women's,trendy casual black color-block sneakers,low-top sneaker fit,canvas and faux leather patchwork,black,low-top,brand logo detail,Lace-up closure
