itemID,title,gender,style,outline,materials,color,pattern,detail,donningdoffing,URL link
p22,简约纯色百搭长袖T恤,男款,休闲风基础上衣,标准型,棉质面料,黑色,圆领款,纯色打底，适配风格叠穿，可单穿搭配配饰，面料舒适亲肤，常规衣长,套头式,https://detail.tmall.com/item.htm?id=962484996036&pisk=gMGrYP_04QdzPo-i7VVegTX5BXU7LW-6zXZQ-203PuqkvUU3T0i0K6gWee8U0DE7F7D7-6obcD1IPXkATV3KNUFBy7389Wx6fCiEy4FdNWzM1bRciP0ctgfkhSAnRHjDfCOsuL48OqxsFHclYra3tz23EIY4Wyjut84uoEz3RgXhZD0DuoUCra43Eqj0RPButT43nr48Sabu-WqcnoU3tam3tEP0DyV3xDVn1Z3o-sz_EEhqI89ONSyzj4qV_qh4rrW-zoWlUjk4Olc_06fngz3F1AER_pZiBuw_qmAfaWu080ZjjCf4iRktRyoya_VSnxh8NjtNW8oU2Rcb3Cj4kx0SKbnP864-NfwUX-8h9JNm1RDi4wLto74nvRhBX_Eo-VhtC5RfE50qKckF4djLoFFt9K2VL84YulT2uWFJAoev1zofp9e06rr6Pz6dp8mYulT2Q9BLewU4fUsC.&spm=pc_detail.30350276.202205.1.2a9a7dd662mIEM
p23,简约纯色百搭长袖T恤,男款,休闲风基础上衣,标准型,棉质面料,白色,圆领款,纯色打底，适配风格叠穿，可单穿搭配配饰，面料舒适亲肤，常规衣长,套头式,https://detail.tmall.com/item.htm?id=962484996036&pisk=gMGrYP_04QdzPo-i7VVegTX5BXU7LW-6zXZQ-203PuqkvUU3T0i0K6gWee8U0DE7F7D7-6obcD1IPXkATV3KNUFBy7389Wx6fCiEy4FdNWzM1bRciP0ctgfkhSAnRHjDfCOsuL48OqxsFHclYra3tz23EIY4Wyjut84uoEz3RgXhZD0DuoUCra43Eqj0RPButT43nr48Sabu-WqcnoU3tam3tEP0DyV3xDVn1Z3o-sz_EEhqI89ONSyzj4qV_qh4rrW-zoWlUjk4Olc_06fngz3F1AER_pZiBuw_qmAfaWu080ZjjCf4iRktRyoya_VSnxh8NjtNW8oU2Rcb3Cj4kx0SKbnP864-NfwUX-8h9JNm1RDi4wLto74nvRhBX_Eo-VhtC5RfE50qKckF4djLoFFt9K2VL84YulT2uWFJAoev1zofp9e06rr6Pz6dp8mYulT2Q9BLewU4fUsC.&spm=pc_detail.30350276.202205.1.2a9a7dd662mIEM
p24,简约百搭休闲裤,男款,简约通勤休闲长裤,直筒型,棉质面料,卡其色,直筒西裤款,高腰设计，面料垂坠感佳，版型挺括不紧绷，适配通勤、休闲等多场景,拉链式,https://detail.tmall.com/item.htm?id=966242983869&pisk=gz_-D4acV-2obqzbB4q0KqNTCxgddofykT5s-pvoAtBAQO33agXhDB6cpeYhO8WdJK6--gflOXdCnUtFqpvkpeCFBS2gSPfPae8bIR4GymPJcFoSV2MncsOHJQGkqPH1ae8Qpj0QjPCPENKJwzTQMEOptvTBN31bMBd9de9WAxiX1K9BR99CGmOws2gIP3abMQAiAB9BArGXOQiIN9tQMnOMse9Cd3NAGKRBRpGQyJpjNp0dq_a4MklEGDndkQKJp2vqJh7oSnp_2Lus5LHy4d9MH2gCkQ5KSGJrWkv1bLxMFtamyeCX9TvcCPgvlhINtBB8y4Tlci7yrZ2t_3BpUh_DDPMvgi1lAaW-92OPrNxpQnFI8HYfShs1eXPNGUOCLh73Q4J5O17NjFUmVF1AAOId4DQGWthnIvaZVSFxYD-WgrUD7hlOTo6WMdV8JDoe0SRvISHxYD-WbIpgi6mEYnWN.&spm=pc_detail.30350276.202205.1.1a861382ftrIsC&sku_properties=1627207%3A28331
p25,斜挎手提包,通用款,简约商务通勤包,凯莉包,皮质面料,黑色,手提包款,立体包型搭配金属锁扣装饰，容量充足，兼具实用性与质感，适配通勤场景,手提,https://item.taobao.com/item.htm?abbucket=18&id=912801452176&mi_id=0000hEx0cAQtUQZCamr7LwmT6GROVT8hA7WZjvLd2pD1IV4&ns=1&priceTId=2147860a17661329243327132e1042&skuId=5943494911749&spm=a21n57.imgsearch.item.3&utparam=%7B%22aplus_abtest%22%3A%22572211eb620b752604b14f11ce818f72%22%7D&xxc=taobaoSearch
p26,厚底休闲方头增高德比鞋,男款,复古潮流休闲皮鞋,厚底版型,皮质面料,黑色,厚底德比鞋款,圆头系带设计，厚底增高且防滑，皮革质感提升造型精致度，适配多种风格,系带式,https://item.taobao.com/item.htm?abbucket=18&id=974457497463&mi_id=0000t6uxgTbkWlv7RmFoYh1PSHuoLOJ3vOy8HauDZ1CbdR4&ns=1&priceTId=2147863817661315844773300e12dc&skuId=6142927614958&spm=a21n57.imgsearch.item.9&utparam=%7B%22aplus_abtest%22%3A%2255ac7337654a9a851067f02272277397%22%7D&xxc=taobaoSearch
p27,字母印花连帽卫衣,男款,潮流休闲连帽上衣,宽松版型,棉质面料,白灰色,连帽套头款,字母印花装饰，基础连帽版型，面料柔软舒适，适配日常休闲场景,套头式,https://detail.tmall.com/item.htm?abbucket=18&id=998350873274&mi_id=0000dBlp7nlJ8IyTCEEFhOxDaApOs6G3q6snEFyby6RY7JU&ns=1&priceTId=214786d817661276788934629e1376&skuId=6146790639821&spm=a21n57.1.hoverItem.45&utparam=%7B%22aplus_abtest%22%3A%22571acf87affc10432442cfaf9d098aa8%22%7D&xxc=taobaoSearch
p28,格纹宽松长袖衬衫,男款,复古休闲衬衫,宽松落肩版型,棉质面料,蓝白色,格纹衬衫款,清新格纹肌理，宽松落肩设计，适配单穿叠穿，兼具休闲与复古感,纽扣式,https://detail.tmall.com/item.htm?abbucket=13&id=826191944795&pisk=g8wIUP_aveYIbbVxOYSw5DBYpjcvFGW2d3i8mupe2vHdN3ZUVbpzY6j5VVao8XkLF5v7mu2FxYSnKkDoeZ7V3zZ3xYAJ9TETddKtxlnJeLCZBDyJJx_V3tr19DDzXZPF21bjXmJ-eXh-BO3iqQL8ybETXVmo2eH-JGZtSVnJpp3KWFnr4HKLyLh960oIvH3-yFBt0VnKe2HRfl3iVY38yYI_XXa9c01I-ks2cRIS5Cp5_vvJeRiI61rIWXG14cGCWl3MeZFoAr0YvV9JUqEta2r_Yw90bv2QlmzFBpabmR4sXrB55Y4gwzn7WtYrKSz3nfZGMdEidVcxX-IyiVys8zeI6iJjaAeqMvFNswlrdma8KytWerEa0JcgFZTtrWomBmrhddMYv0Iz6KujmjRS2aJSfqS1fQAlJsXm0eyn2cGKjDGNfGTLZEvJEdyPfBDn9cmw8Gs6JMf..&rn=88d4cf902ecdf17ce0fc01fc0b3c102c&spm=a1z10.3-b.w4011-24355111524.63.9cbe4542Fsd2lt
p29,做旧水洗阔腿牛仔裤,男款,复古潮流牛仔裤,阔腿版型,牛仔面料,蓝色,阔腿牛仔款,水洗做旧工艺和圆形补丁装饰，版型宽松不羁，强化复古潮流属性,拉链式,https://detail.tmall.com/item.htm?id=998266817417&pisk=gJ8rDEVcU43rR6kM_CbEuu0Dz655Ewksae6CtBAhNTXopbCh8L9cxyOS2XlF3pB5Vax5tyJfhpaBNe-Y8CdpPbQIwadRJwDsCV9ewQQpsWHC6Uycn1O0-zfncZ0HOv2mCVg6g0fRRID6Vbx8ssfh-_jhxocV164h-Mjhoj5hO8q3rpAmgtCQq9bhK-qcT12h-uquiifN1Jfur9b0ntCh-zb3rjRcH67hKpbngIcI1QA3u1soMEoQWve7kMXMZtz375CPqYRbAyUKGsj5IimbRysdagWMZtHkPp1AmBIeJWUF0Qx9p1vuEAsJtnJVawubqNA2xd5vrVwPM3OD1tAaOyORzn8VPUDLXIOVEG7XcmH5AaJyXOIoDxpegT9Hzi2rh9t6GUj2Ixa2pM-9O6JrzzvG4P2difQ9Jmj4YgfAgOGqgwQ-dtIx5_JbvkIcWsWsN_ZLvgvAgOGqbkEd2WCVCbwC.&sku_properties=1627207%3A28338&spm=pc_detail.30350276.202205.1.4afc7dd6jC4kVM
p30,破坏毛边粗狂针织帽,男款,街头风装饰针织帽,弹力贴合款,针织面料,黑灰色旧蓝色,破坏毛边款,粗线针织肌理，破坏毛边和流苏设计，头围弹力适配53—65cm，兼具装饰性与保暖性,包头款,https://item.taobao.com/item.htm?abbucket=18&id=741654971502&mi_id=00001WlFzzQ43bojHAS_3ea10_hfAo8kB3pGh3_T_YNVZ2o&ns=1&priceTId=2147802217662144987658407e1680&skuId=5283643126027&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%221b0abbe6f621d401f67fe72877f89d23%22%7D&xxc=taobaoSearch
p31,条纹低帮休闲板鞋,男款,德训鞋,低帮平底款,皮质、麂皮,米白黑条纹色,运动休闲鞋,经典条纹装饰，橡胶底防滑耐磨，适配日常休闲、通勤等多场景,系带式,https://item.taobao.com/item.htm?abbucket=18&id=985180242194&mi_id=0000b8mWrVPtvzdLuOFCEYW3LzQluTMvOXgqnBeFvF_7Luc&ns=1&priceTId=214781a917662148532913355e17fa&skuId=5994442665912&spm=a21n57.imgsearch.item.5&utparam=%7B%22aplus_abtest%22%3A%22a1ec4377ce5cbb277ce50ad96bb6b046%22%7D&xxc=taobaoSearch
