outfitID,items,look,season,occasion,URL link
b12,"p59,p60,p61,p62",韩系轻潮风：藏蓝条纹长袖上衣搭深棕阔腿裤，链条与丝巾装饰强化潮流细节，日常出街适配度高。,春,社交,https://detail.tmall.com/item.htm?abbucket=18&id=963852546656&mi_id=0000S-ijyCNVTJ2Wvjd7b_RE953WzFX7s017zxMODaQXbpI&ns=1&priceTId=2147808e17684635379431282e12c2&skuId=5903511976764&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22aa00a5cc3a41606b29a5d9879b6f2d6d%22%7D&xxc=taobaoSearch
b13,"p63,p64,p65,p66",韩系轻潮风：灰黑条纹翻领上衣配深棕阔腿裤，字母元素突出风格，简约中透出潮酷调性。,秋,居家,https://detail.tmall.com/item.htm?abbucket=18&id=962464960981&mi_id=00007CQnEngb5XEAckJyv_lIjRmATpMKwk5Kzx3OVNZYAdg&ns=1&priceTId=214785ea17684636421396385e0fd3&skuId=5894574156175&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%226ddcd866c5c8e008f9812037b5e36d73%22%7D&xxc=taobaoSearch
b14,"p67,p68,p69,p70,p71",先锋解构风：灰黑格纹衬衫外套搭米白工装裤，下摆亮片装饰打破常规，设计感突出且具小众调性。,秋冬,校园,https://detail.tmall.com/item.htm?abbucket=18&id=961569158218&mi_id=0000uetO7RIi-4IBMdj388hg3XbyTxt1tRhno9AdrJLhBq8&ns=1&priceTId=214785ea17684637375263785e0fd3&skuId=6061848362768&spm=a21n57.imgsearch.item.2&utparam=%7B%22aplus_abtest%22%3A%2296278bcf22d095fd11e00363adb45897%22%7D&xxc=taobaoSearch
b15,"p72,p73,p74,p75,p76",通勤休闲风：卡其色长袖上衣搭深棕阔腿裤，豹纹帽与挂饰增添个性，舒适之余兼顾日常场景。,春,居家,https://detail.tmall.com/item.htm?abbucket=18&id=960738179743&mi_id=0000GS-yuubLyk7_HSpXbse_cxnTAIWPCV-fXW_DlyywOr0&ns=1&priceTId=214785ea17684637583334803e0fd3&skuId=5894633532112&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22106c7547f7112fd230c7f5c87527468c%22%7D&xxc=taobaoSearch
b16,"p77,p78,p79,p80,p81",通勤休闲风：卡其色印花长袖上衣搭配浅棕阔腿裤，外搭格纹衬衫作装饰，松弛感突出，适配日常通勤场景。,秋,居家,https://detail.tmall.com/item.htm?abbucket=18&id=961271590997&mi_id=0000sOGfADhJqllb47K8spR-MSQbzA_DvPBaCLP-IfT4k_8&ns=1&priceTId=214785ea17684637735305551e0fd3&skuId=6103853130610&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22ce1e19c7e6736bdbd4aa607e4747c1a6%22%7D&xxc=taobaoSearch
b17,"p82,p83,p84,p85,p86,p87",知识分子风：黑灰纹理针织上衣搭浅棕阔腿裤，贝雷帽与挎包点缀，文艺气质中透出随性格调。,秋冬,出行,https://detail.tmall.com/item.htm?abbucket=18&id=972850983902&mi_id=0000SibrmrOMXTgcDXjcvBLniJsOYn69V5Zi8CysE4Lb3Ys&ns=1&priceTId=214785ea17684637865936174e0fd3&skuId=5926497417029&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%221114373b79a04d94757d654da141de62%22%7D&xxc=taobaoSearch
b18,"p88,p89,p90,p91",轻奢老钱风：黑色菱格针织上衣叠穿高领内搭，配黑色工装裤，金属挂饰强化硬朗质感，兼具实用与风格。,秋,校园,https://detail.tmall.com/item.htm?abbucket=18&id=984270202139&mi_id=0000FaTtuZxf1Ecfxc8opEHLRlrSvrWZgLBQc5DjkSO48jU&ns=1&priceTId=214785ea17684638151207901e0fd3&skuId=6111709926890&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%224589993a43f4a9dfe7c74077af8e44dc%22%7D&xxc=taobaoSearch
b19,"p92,p93,p94,p95,p96,p97",轻奢老钱风：浅卡其针织上衣叠穿黑色内搭，配米白工装裤，简约色调与利落版型兼具高级感与松弛感。,春,社交,https://detail.tmall.com/item.htm?abbucket=18&id=984270202139&mi_id=0000FaTtuZxf1Ecfxc8opEHLRjoc7zsz5F-UgDlp7RQwzQY&ns=1&priceTId=214785ea17684638318201024e0fd3&skuId=6111709926890&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%222af8a776bd306d2a971b5990996e1a62%22%7D&xxc=taobaoSearch
b20,"p98,p99,p100,p101,p102",轻奢老钱风：黑色翻领针织外套搭配同色系阔腿裤，拼接皮质口袋点缀细节，整体质感沉稳，显松弛格调。,秋冬,居家,https://detail.tmall.com/item.htm?abbucket=18&id=972337413145&mi_id=0000xaxoCcjwT-cRJzWsW6g1jKWVjtsweqEhZ0rO2McmbUs&ns=1&priceTId=214785ea17684638547802423e0fd3&skuId=5923492613426&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22f5a808d58b5a992c4dcd1c9a1cafff91%22%7D&xxc=taobaoSearch
b21,"p103,p104,p105,p106,p107",美式复古风：深牛仔外套饰有刺绣细节，搭配灰色阔腿裤，金属挂饰点缀，复古质感中透出随性格调。,秋,校园,https://detail.tmall.com/item.htm?abbucket=18&id=976567651965&mi_id=0000XC8B_y-iLYvQ5bnMjifHV0bymGkakI1oueWB651r35E&ns=1&priceTId=214785ea17684639208815921e0fd3&skuId=5932960977010&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22c655358e068db1bc265bb08cb2a1d553%22%7D&xxc=taobaoSearch
b22,"p108,p109,p110,p111,p112",美式复古风：深牛仔外套叠穿酒红内搭，配灰色阔腿裤，刺绣元素强化复古氛围，造型层次感丰富。,秋,出行,https://detail.tmall.com/item.htm?abbucket=18&id=976567651965&mi_id=0000XC8B_y-iLYvQ5bnMjifHV1kRp11VDEjZ3MpSbc9bqkQ&ns=1&priceTId=214785ea17684639355956765e0fd3&skuId=5932960977010&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22445a0929e98025be5e53cf42342b33a9%22%7D&xxc=taobaoSearch
b23,"p113,p114,p115,p116",轻奢老钱风：藏蓝针织开衫配浅米色阔腿裤，简约色调与精致纽扣细节结合，质感高级且显松弛贵气。,春,居家,https://detail.tmall.com/item.htm?abbucket=18&id=976558475388&mi_id=0000CK9lgGIgU9rq0oRiSl7DCou99xAvQkaEOfPXBKNAdX4&ns=1&priceTId=214785ea17684639505437645e0fd3&skuId=6104144314258&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%229850615feb86bb145317a1540586d22f%22%7D&xxc=taobaoSearch
b24,"p117,p118,p119,p120,p121,p122,p123",韩系轻潮风：橄榄绿针织开衫搭做旧阔腿裤，链条与丝巾装饰增添潮流细节，日常出街风格鲜明。,秋冬,社交,https://detail.tmall.com/item.htm?abbucket=18&id=976558475388&mi_id=0000CK9lgGIgU9rq0oRiSl7DCljp61F8LcGtIresLfHzAUk&ns=1&priceTId=214785ea17684639656768534e0fd3&skuId=6104144314258&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%2217739c939b75768f5ee13b51f66d9800%22%7D&xxc=taobaoSearch
b25,"p124,p125,p126,p127,p128,p129",通勤休闲风：卡其色短袖上衣配深色阔腿裤，豹纹鞋与挎包点缀，舒适随性且适配日常场景。,春夏,出行,https://detail.tmall.com/item.htm?abbucket=18&id=903717164035&mi_id=00008xsEC3frEUGwC2r1LniBlnJ1vTQy8mqvhxfIW1Pc5eY&ns=1&priceTId=214785ea17684639907562232e0fd3&skuId=5929090755207&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22ed393f29a3351b27870e35ff16e52f3f%22%7D&xxc=taobaoSearch
b26,"p130,p131,p132,p133,p134,p135",轻奢老钱风：格纹夹克搭配浅米色阔腿裤，皮质领部与同风格帽子呼应，色调柔和且质感沉稳，显松弛贵气。,秋,校园,https://detail.tmall.com/item.htm?abbucket=18&id=980922172918&mi_id=0000nlhJaGMdZDx3cOcAZPytEDfZOAnAPD45EnSjcs3VMdE&ns=1&priceTId=214785ea17684640161013741e0fd3&skuId=6103243655674&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22c2937af851dd81cc2c5e5f6de12041a8%22%7D&xxc=taobaoSearch
b27,"p136,p137,p138,p139",通勤休闲风：酒红格纹衬衫叠穿白色内搭，配浅米色阔腿裤，腰带点缀强化造型感，舒适随性适配日常场景。,秋,社交,https://detail.tmall.com/item.htm?abbucket=18&id=968527123291&mi_id=0000WXkRPTbpjRmTbpTRKqQRtMY8suOM5Z-cibrfLpADHOY&ns=1&priceTId=214785ea17684640305384689e0fd3&skuId=6083132566554&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22c8f9dcc2e3cc5341d8d269ba711cee85%22%7D&xxc=taobaoSearch
b28,"p140,p141,p142,p143,p144,p145",韩系轻潮风：浅灰印花连帽卫衣搭黑色阔腿裤，毛绒帽饰增添潮流细节，风格鲜明且适合日常出街。,秋冬,居家,https://detail.tmall.com/item.htm?abbucket=18&id=972466447609&mi_id=0000cDUwe0LPDPImCMCeOlPRXLrjpIk1WrGi_ip4LJHX_s4&ns=1&priceTId=214785ea17684640447965677e0fd3&skuId=5925863265725&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22d0a624433974b7adedbaafab2e102804%22%7D&xxc=taobaoSearch
b29,"p146,p147,p148,p149,p150,p151,p152",通勤休闲风：橄榄绿纹理针织上衣配浅米色阔腿裤，挎包点缀细节，整体舒适随性，适配日常通勤场景。,春,出行,https://detail.tmall.com/item.htm?abbucket=18&id=982363893962&mi_id=0000GEbuwgN3mPjNvmsWsS8jEGvDXzvZFUQtD4BlFWCKnL8&ns=1&priceTId=214785ea17684640655646965e0fd3&skuId=5941768881272&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%2217580854e2bca194e0616e2c3227b3b1%22%7D&xxc=taobaoSearch
b30,"p153,p154,p155,p156,p157",美式复古风：军绿色毛领外套搭做旧牛仔裤，靴款与挎包强化复古氛围，造型厚重且具经典街头质感。,秋冬,居家,https://item.taobao.com/item.htm?abbucket=18&id=977152838794&mi_id=0000KfShnMinGcgp3To6bM-x9MQxJwqFJlkshTsJfY7A3fc&ns=1&priceTId=214785ea17684640803027786e0fd3&skuId=5932213904909&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%2244e4e18c1590fd64dcc1739c5f3d6690%22%7D&xxc=taobaoSearch
b31,"p158,p159,p160,p161",户外机能风：做旧牛仔夹克搭配多口袋工装裤，夹克的金属扣与裤子的立体口袋强化实用设计，整体风格硬朗且具功能性。,秋,运动,https://item.taobao.com/item.htm?abbucket=18&id=832571820265&mi_id=0000HGeOT8CzhnPAPCDiPhJVS851241iMn-MCcq5ei1GLk0&ns=1&priceTId=214785ea17684640942808881e0fd3&skuId=5745043775258&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22476f5d0640dcd05e13f80f901ddb1023%22%7D&xxc=taobaoSearch
b32,"p162,p163,p164,p165",先锋解构风：格纹与牛仔拼接夹克搭黑色阔腿裤，撞料设计与金属挂饰突出小众造型感，解构调性鲜明。,秋,社交,https://item.taobao.com/item.htm?abbucket=18&id=987840428078&mi_id=0000u_EKDsupjLU3iAaoTOORuRr_UjefRjhm47MI3-yjc_k&ns=1&priceTId=214785ea17684641083361841e0fd3&skuId=6115681702147&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%2265cb666522fbccb9743bd12d6bfdab6d%22%7D&xxc=taobaoSearch
b33,"p166,p167,p168,p169",轻奢老钱风：浅卡其毛领夹克配黑色阔腿裤，柔和色调与质感面料结合，显松弛沉稳的贵气氛围。,秋冬,居家,https://item.taobao.com/item.htm?abbucket=18&id=987835176737&mi_id=0000ofOyu4xrlanMAiwSG1jsuQ7uGVctKDwipxWtUrQoXkE&ns=1&priceTId=214785ea17684641256762787e0fd3&skuId=5950969065410&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22001ddf538fe01d4eab8eed5e6d81609b%22%7D&xxc=taobaoSearch
b34,"p170,p171,p172,p173,p174",通勤休闲风：黑色绗缝夹克搭深棕阔腿裤，简约版型与细节挂饰平衡舒适与风格，适配日常通勤。,秋冬,出行,https://item.taobao.com/item.htm?abbucket=18&id=977188750155&mi_id=0000pCIvdwxiwypqCUTz_1JRAcLYvEow9obToHCOpNn2ydo&ns=1&priceTId=214785ea17684641387003760e0fd3&skuId=5933133029280&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22fba7d8a244351959bc49c0c7423afdd6%22%7D&xxc=taobaoSearch
b35,"p175,p176,p177,p178",美式复古风：做旧牛仔夹克搭黑色阔腿裤，复古水洗质感与经典夹克版型结合，自带街头随性格调。,秋,校园,https://item.taobao.com/item.htm?abbucket=18&id=977549205201&mi_id=0000Lo_-mRBzYjkyEcovyKPpVaJomIG278puxleheXBh43k&ns=1&priceTId=214785ea17684641599314961e0fd3&skuId=6098221447861&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22f9245d9477a3007035c2c98d7657b047%22%7D&xxc=taobaoSearch
b36,"p179,p180,p181,p182",户外机能风：橄榄绿拼蓝袖夹克搭配多口袋工装裤，夹克的功能性口袋与裤子的立体袋设计强化实用属性，风格硬朗且适配户外场景。,春,运动,https://item.taobao.com/item.htm?abbucket=18&id=832151714212&mi_id=0000dW_NZxI3PwLxffI1taq-Q-2adWtZ1107wtUx7D3JMPM&ns=1&priceTId=214785ea17684641787456061e0fd3&skuId=5744970659603&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22ca92c0556b2357228e8c719a6e23d611%22%7D&xxc=taobaoSearch
b37,"p183,p184,p185",先锋解构风：做旧牛仔套装，不规则裁片与拉链细节打破常规版型，小众设计感突出，解构调性鲜明。,秋冬,出行,https://item.taobao.com/item.htm?abbucket=18&id=735499086141&mi_id=0000UFmWrjvx8AlAcBDJuzjwdlRzhQIiSZVZ9jM4FQkKbgE&ns=1&priceTId=214785ea17684641943927118e0fd3&skuId=5252927678234&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22e85087654825b9861935f07db1cd694c%22%7D&xxc=taobaoSearch
b38,"p186,p187,p188,p189,p190",轻奢老钱风：黑色鳄鱼纹风衣配黑色阔腿裤，质感面料与精致腰带结合，色调统一且显沉稳高级的贵气氛围。,秋冬,社交,https://item.taobao.com/item.htm?abbucket=18&id=966606036026&mi_id=0000Yp32gJ96iu1dUB67ocNHEKv4qWGpA6KgUjrChiPgyQU&ns=1&priceTId=214785ea17684642153548415e0fd3&skuId=5909368337578&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%2237f124bd6f59eed2b6baccf7db63c601%22%7D&xxc=taobaoSearch
b39,"p191,p192,p193,p194",韩系轻潮风：白色毛领夹克搭做旧工装裤，装饰钉钻与链条细节增添潮流感，造型亮眼且适合日常出街。,秋冬,运动,https://item.taobao.com/item.htm?abbucket=18&id=995219225367&mi_id=0000waUBk8czNMeZrlQGMmXygQTjYK-iOJBUDpwVJyoEttg&ns=1&priceTId=214785ea17684642279011311e0fd3&skuId=6138656470640&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%223af7a03f061bdb8c6399e5bcc5b6e859%22%7D&xxc=taobaoSearch
b40,"p195,p196,p197,p198,p199",户外机能风：深绿冲锋衣搭配黑色户外裤，配套登山杖与背包强化功能性，面料与版型均适配户外场景，实用属性突出。,秋冬,出行,https://item.taobao.com/item.htm?abbucket=18&id=952134642683&mi_id=0000xvWhAZXd17Nhksu3uoZkq-FooikxVBW8hFPxx0z3Q-M&ns=1&priceTId=214785ea17684642420562191e0fd3&skuId=5886108848963&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22022e72054b57645afb597a3d41da9e90%22%7D&xxc=taobaoSearch
b41,"p200,p201,p202,p203",户外机能风：深绿长袖上衣搭配浅灰户外裤，简约版型与功能性面料结合，适配轻户外场景，风格休闲且具实用属性。,春,校园,https://item.taobao.com/item.htm?abbucket=18&id=949475787079&mi_id=0000XpqpEGDlF01Lk5bhSyo38ImLHTrfDCEbxZzFFbk0kZE&ns=1&priceTId=214785ea17684642636813457e0fd3&skuId=5935875109942&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22c09534ddc106f465e261ed2c0e1bac02%22%7D&xxc=taobaoSearch
b42,"p204,p205,p206,p207",户外机能风：卡其冲锋衣，夹克和工装裤，多口袋与抽绳设计强化功能性，同色系搭配显协调，适配户外场景。,秋,出行,https://item.taobao.com/item.htm?abbucket=18&id=991741814948&mi_id=0000HwAXP1uf48zZc6I_lerSEdFQZGJ0RjcBfapbo75j908&ns=1&priceTId=214785ea17684642780004355e0fd3&skuId=5965408265236&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22741c9aa9a4b5db1d89f91f6af3577933%22%7D&xxc=taobaoSearch
b43,"p208,p209,p210,p211",户外机能风：黑色夹克搭橄榄绿工装裤，侧边拉链与挎包细节突出实用设计，版型利落且适合日常轻户外穿搭。,秋冬,居家,https://item.taobao.com/item.htm?abbucket=18&id=947311851067&mi_id=0000wk2WiJJU9hEvNtlt3uz6zvMIOw2ALX4uZldYS5JkbSo&ns=1&priceTId=214785ea17684643148536427e0fd3&skuId=5858880205560&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%223c55248724e7cfb20ba4b21e35bc888e%22%7D&xxc=taobaoSearch
b44,"p212,p213,p214,p215,p216,p217,p218",户外机能风：卡其冲锋衣配黑色工装裤，配套登山杖与背包强化户外属性，防护面罩与手套细节提升功能性，适配专业户外场景。,秋冬,出行,https://item.taobao.com/item.htm?abbucket=18&id=950550693402&mi_id=0000QfihNPAh1iHoYDJEuQ7-GSl9xvFye0Lw_6Wxpw0Cook&ns=1&priceTId=214785ea17684643305207307e0fd3&skuId=6053463239767&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%222ab45b470084bbdd674760176653dc2b%22%7D&xxc=taobaoSearch
b45,"p219,p220,p221,p222",户外机能风：姜黄冲锋衣搭浅灰户外裤，多拉链口袋设计增强实用性，色调对比鲜明，风格活力且适配户外场景。,春,运动,https://item.taobao.com/item.htm?abbucket=18&id=951663787700&mi_id=0000_PcHymQpoxvQOmLfbqHIXC5ntuPnTkVk97aDUktQBaw&ns=1&priceTId=214785ea17684643450758260e0fd3&skuId=5870428868816&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22112aa4cfa453d558265f2fb0487c6b63%22%7D&xxc=taobaoSearch
b46,"p223,p224,p225,p226",户外机能风：深灰拼黄长袖上衣搭配姜黄工装裤，半拉链设计与抽绳口袋强化实用属性，面料适配轻户外场景，风格休闲且具功能性。,春,运动,https://item.taobao.com/item.htm?abbucket=18&id=967352021121&mi_id=0000p8T2VYvsc7iQhmL-m9ybKQgXyoJcmJicIFCc-O1aaCU&ns=1&priceTId=214785ea17684643614241448e0fd3&skuId=6079645879405&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22a5e06df33c0a5c937980d64f072518ed%22%7D&xxc=taobaoSearch
b47,"p227,p228,p229,p230,p231",户外机能风：棕拼卡其冲锋衣配黑色户外裤，登山杖与背包细节突出专业户外属性，撞色版型显层次，适配徒步等户外场景。,秋冬,出行,https://item.taobao.com/item.htm?abbucket=18&id=984551899703&mi_id=0000tpMkvTSLscqAR54HiRt1Fr2sODAscHot2UStz8ibS2s&ns=1&priceTId=214785ea17684643777782305e0fd3&skuId=6116704731132&spm=a21n57.imgsearch.item.2&utparam=%7B%22aplus_abtest%22%3A%22bea7d82ffeda7965ce238839ffcbca9e%22%7D&xxc=taobaoSearch
b48,"p232,p233,p234,p235,p236,p237",户外机能风：灰黑拼色羽绒夹克搭黑色工装裤，绗缝工艺与登山杖搭配兼顾保暖与实用性，适配低温户外场景。,秋冬,出行,https://detail.tmall.com/item.htm?abbucket=18&id=988077355768&mi_id=0000nXz8h1I8gM1m1Bew0XWb9qtgPb-YmBDmMMVWs-0-S9g&ns=1&priceTId=214785ea17684643948963010e0fd3&skuId=6121202611377&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22cf73c529fb40033b21c5d83bca51ec19%22%7D&xxc=taobaoSearch
b49,"p238,p239,p240,p241",户外机能风：浅灰拼蓝连帽上衣配藏蓝户外裤，撞色口袋与宽松版型结合，舒适随性且适配日常轻户外穿搭。,春,居家,https://item.taobao.com/item.htm?abbucket=18&id=977586521516&mi_id=0000AS-7PNsnBfBhon0cu1WpyZ4NqtO9ZxIEjdEZv4bmhak&ns=1&priceTId=214785ea17684644115164043e0fd3&skuId=6097405914631&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%2211791d75c14bc0ec1acb8871362b1e00%22%7D&xxc=taobaoSearch
